branch,phi1_a,phi2_a,phi1_b,phi2_b,length
0,0.1474753327427842,0.1474753327427842,0.35252466725721404,0.35252466725721404,0.28998354982588426
0,0.1483336742059806,0.1466300116888237,0.3536691649055269,0.35137282742268383,0.2899694541420749
0,0.14920509016854133,0.14579765865753042,0.35480626626277134,0.35021369777378225,0.2899271644039371
0,0.15008963586198765,0.14497822240565825,0.35593591508784816,0.3490473285441775,0.28985667277346777
0,0.15098736799426216,0.1441716531680199,0.3570580532342334,0.3478737680604757,0.28975796611470506
0,0.15189834469499466,0.14337790260356575,0.3581726205977434,0.34669306268917227,0.28963102599659296
0,0.15282262551788078,0.14259692379815045,0.3592795550991595,0.3455052568188899,0.2894758286651657
0,0.15376027144744797,0.14182867127151938,0.36037879266418327,0.34431039284011183,0.2892923450061745
0,0.15471134491663677,0.1410731009947084,0.36147026720501996,0.34310851112694835,0.2890805404954752
0,0.15567590983068452,0.1403301704132408,0.3625539106002205,0.34189965001766426,0.28884037513893074
0,0.15665403159472682,0.1395998384734743,0.36362965267078445,0.340683845792037,0.28857180340274335
0,0.1576457771450958,0.13888206565200842,0.36469742115232007,0.33946113264540745,0.2882747741340487
0,0.15865121498434992,0.13817681398810527,0.3657571416630784,0.33823154265932304,0.2879492304715701
0,0.1596704152205021,0.13748404711950826,0.3668087376679654,0.3369951057689592,0.2875951097459307
0,0.16070344961056846,0.1368037303216913,0.36785213043835974,0.3357518497272369,0.28721234336932205
0,0.1617503916086338,0.1361358305506467,0.3688872390075923,0.33450180006557934,0.2868008567141643
0,0.16281131641865998,0.13548031648934658,0.3699139801219525,0.33324498005126585,0.28636056898036466
0,0.16388630105221053,0.1348371585979549,0.3709322681870165,0.3319814106412721,0.28589139305076355
0,0.1649754243913257,0.13420632916792866,0.37194201520908976,0.33071111043248674,0.28539323533426575
0,0.16607876725674464,0.13358780238010204,0.37294313073153423,0.3294340956081768,0.28486599559618714
0,0.16719641248171976,0.13298155436689812,0.37393552176572015,0.32815037988054174,0.2843095667752264
0,0.16832844499173866,0.13238756327886728,0.3749190927163704,0.3268599744292418,0.2837238347864402
0,0.16947495189036035,0.13180580935565367,0.3758937453009568,0.32556288783566345,0.2831086783095763
0,0.17063602255152388,0.13123627500162494,0.3768593784628516,0.32425912601275053,0.2824639685619979
0,0.1718117487186876,0.13067894486639617,0.3778158882779242,0.32294869213021554,0.2817895690554113
0,0.17300222461109618,0.13013380593042034,0.37876316785413816,0.32163158653481394,0.2810853353355077
0,0.17420754703764257,0.12960084759596852,0.37970110722382433,0.3203078066654983,0.2803511147035788
0,0.1754278155186981,0.1290800617837304,0.3806295932281303,0.31897734696309793,0.27958674591905325
0,0.1766631324164309,0.12857144303539733,0.38154850939321455,0.31764019877424804,0.2787920588818052
0,0.17791360307406912,0.12807498862252223,0.3824577357976326,0.3162963502491794,0.27796687429301287
0,0.1791793359646951,0.12759069866206557,0.3833571489303893,0.3149457862330188,0.2771110032932174
0,0.18046044285017435,0.12711857623904116,0.3842466215390236,0.3135884881501567,0.27622424707607185
0,0.18175703895086215,0.12665862753670812,0.38512602246708494,0.3122244338812389,0.27530639647621263
0,0.183069243126785,0.12621086197478656,0.3859952164802315,0.3108535976322298,0.2743572315294571
0,0.1843971780711199,0.12577529235628918,0.3868540640802306,0.30947594979506127,0.2733765210034379
0,0.1857409705168034,0.12535193502354808,0.3877024213059439,0.30809145679919914,0.2723640218965201
0,0.18710075145718275,0.12494081002408176,0.3885401395203839,0.3067000809534848,0.2713194789027597
0,0.18847665638176167,0.12454194128705681,0.3893670651828081,0.30530178027751287,0.270242623840332
