code,wall_affinity,side,phi1_inf,phi2_inf,nearest_binodal_phi1,nearest_binodal_phi2,distance,signed_distance,tolerance,classification
m0p5,-0.5,strong,0.07541279809425307,0.0001,0.09560899437851342,0.010555902560899439,0.02274230073487278,0.016782917561383053,0.001111805121798877,one_phase_side
m0p5,-0.5,strong,0.07753862573426418,0.01212406015037594,0.09560899437851342,0.011111805121798875,0.018098698383639242,0.017712049016241314,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.0772044089512969,0.0001,0.09560899437851342,0.010555902560899439,0.021167301743744617,0.015052927807828437,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.0793454222459521,0.011623057644110276,0.09560899437851342,0.011111805121798875,0.016271605871965886,0.01583712993087018,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07941194057851825,0.01212406015037594,0.09560899437851342,0.011111805121798875,0.016228654042859426,0.015903165422463224,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07954287371116225,0.013126065162907269,0.09560899437851342,0.011111805121798875,0.016191895405143097,0.016037267588724965,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07960758320041957,0.013627067669172934,0.09560899437851342,0.011111805121798875,0.016197892003981553,0.016105049709826173,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07967215509127795,0.014128070175438597,0.09560899437851342,0.011111805121798875,0.016219762678318695,0.016172964696733207,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.0798008381371314,0.015130075187969926,0.09560899437851342,0.011111805121798875,0.01631086441843692,0.016309239559748244,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07986213581546182,0.015631077694235593,0.09560899437851342,0.011111805121798875,0.01638253274645682,0.016380316145114045,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07992234656540911,0.016132080200501255,0.09560899437851342,0.011111805121798875,0.01647040016144751,0.016452442274781428,0.001111805121798877,one_phase_side
m0p48,-0.48,strong,0.07998127576034429,0.01663308270676692,0.09616489693941285,0.013335415365396628,0.01651618007778847,0.016484426297182202,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.07899981751097498,0.0001,0.09560899437851342,0.010555902560899439,0.019626274597594858,0.013319270970755963,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.07934972605440063,0.0011020050125313285,0.09560899437851342,0.010555902560899439,0.018807976639993416,0.013241929220252366,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08134941940348098,0.012625062656641605,0.09560899437851342,0.011111805121798875,0.014339645282758207,0.014162590695980103,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08141968713041442,0.013126065162907269,0.09560899437851342,0.011111805121798875,0.014331562500096099,0.014225005750795836,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08176593057275015,0.015631077694235593,0.09560899437851342,0.011111805121798875,0.014562082272615125,0.014542000971910551,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08183214165414479,0.016132080200501255,0.09616489693941285,0.013335415365396628,0.014603054758073405,0.014566953562841774,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08189784108480067,0.01663308270676692,0.09616489693941285,0.013335415365396628,0.014643206365170304,0.014633779790831813,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08196309045212753,0.01713408521303258,0.09616489693941285,0.013335415365396628,0.014701061190051485,0.01470104060256228,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.0820279820757132,0.017635087719298247,0.09616489693941285,0.013335415365396628,0.014776317004395854,0.01476911736131526,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08209266458909442,0.018136090225563912,0.09616489693941285,0.013335415365396628,0.014868564235809413,0.014837428094982641,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08215740031318713,0.018637092731829577,0.09616489693941285,0.013335415365396628,0.014977240888477166,0.014896766766294173,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08222272128397946,0.01913809523809524,0.0967207995003123,0.015003123048094941,0.015076215273701177,0.01507620283867062,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08228813345197565,0.019639097744360904,0.0967207995003123,0.015003123048094941,0.015158961397379035,0.015151351429324405,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08235032306880398,0.02014010025062657,0.09727670206121174,0.017226733291692692,0.015208040533296828,0.015150446785118907,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08241162396684086,0.02064110275689223,0.09727670206121174,0.017226733291692692,0.01525216265310044,0.01521265623368454,0.001111805121798877,one_phase_side
m0p46,-0.46,strong,0.08247190813162575,0.021142105263157896,0.09727670206121174,0.017226733291692692,0.015313786630759926,0.015302011336402225,0.001111805121798877,one_phase_side
m0p44,-0.44,strong,0.08079402246896004,0.0001,0.09560899437851342,0.010555902560899439,0.01813309932261661,0.011586776338404506,0.001111805121798877,one_phase_side
m0p44,-0.44,strong,0.08099211565612843,0.0006010025062656643,0.09560899437851342,0.010555902560899439,0.017684829054380437,0.011525762393233751,0.001111805121798877,one_phase_side
m0p44,-0.44,strong,0.08113435680627021,0.0011020050125313285,0.09560899437851342,0.010555902560899439,0.017288473376872678,0.01151867949642169,0.001111805121798877,one_phase_side
