source,phi1_inf,phi2_inf
fix_phi2,0.0772044089512969,0.0001
fix_phi2,0.0793454222459521,0.011623057644110276
fix_phi2,0.07941194057851825,0.01212406015037594
fix_phi2,0.07954287371116225,0.013126065162907269
fix_phi2,0.07960758320041957,0.013627067669172934
fix_phi2,0.07967215509127795,0.014128070175438597
fix_phi2,0.0798008381371314,0.015130075187969926
fix_phi2,0.07986213581546182,0.015631077694235593
fix_phi2,0.07992234656540911,0.016132080200501255
fix_phi2,0.07998127576034429,0.01663308270676692
