point_id,phi1_inf,phi2_inf,state,z,phi1,phi2
A,0.12985964912280704,0.14731505515757057,state0,0.0,0.17077739112380816,0.36978558133404493
A,0.12985964912280704,0.14731505515757057,state0,0.01001001001001001,0.1732215807018247,0.3660832160385781
A,0.12985964912280704,0.14731505515757057,state0,0.02002002002002002,0.1755534476347092,0.3624802636311504
A,0.12985964912280704,0.14731505515757057,state0,0.03003003003003003,0.17777712436199797,0.35897347093114107
A,0.12985964912280704,0.14731505515757057,state0,0.04004004004004004,0.17989658093899535,0.35555969200474613
A,0.12985964912280704,0.14731505515757057,state0,0.050050050050050046,0.18191563284172657,0.3522358846870999
A,0.12985964912280704,0.14731505515757057,state0,0.06006006006006006,0.18383794825344735,0.34899910722237054
A,0.12985964912280704,0.14731505515757057,state0,0.07007007007007007,0.18566705488202528,0.3458465150169261
A,0.12985964912280704,0.14731505515757057,state0,0.08008008008008008,0.1874063463512973,0.3427753575009687
A,0.12985964912280704,0.14731505515757057,state0,0.09009009009009009,0.18905908820424566,0.33978297509431526
A,0.12985964912280704,0.14731505515757057,state0,0.10010010010010009,0.19062842355135245,0.3368667962722504
A,0.12985964912280704,0.14731505515757057,state0,0.11011011011011011,0.19211737839365614,0.3340243347276115
A,0.12985964912280704,0.14731505515757057,state0,0.12012012012012012,0.1935288666467392,0.3312531866254721
A,0.12985964912280704,0.14731505515757057,state0,0.13013013013013014,0.19486569488903135,0.3285510279469846
A,0.12985964912280704,0.14731505515757057,state0,0.14014014014014015,0.19613056685534824,0.32591561191912066
A,0.12985964912280704,0.14731505515757057,state0,0.15015015015015015,0.19732608769444462,0.323344766527211
A,0.12985964912280704,0.14731505515757057,state0,0.16016016016016016,0.19845476800748846,0.3208363921073364
A,0.12985964912280704,0.14731505515757057,state0,0.17017017017017017,0.19951902768272628,0.3183884590157645
A,0.12985964912280704,0.14731505515757057,state0,0.18018018018018017,0.20052119954016964,0.3159990053727544
A,0.12985964912280704,0.14731505515757057,state0,0.19019019019019018,0.20146353279886328,0.3136661348781732
A,0.12985964912280704,0.14731505515757057,state0,0.20020020020020018,0.20234819637817336,0.31138801469648214
A,0.12985964912280704,0.14731505515757057,state0,0.21021021021021022,0.2031772820435382,0.30916287340875404
A,0.12985964912280704,0.14731505515757057,state0,0.22022022022022023,0.20395280740623828,0.3069889990294837
A,0.12985964912280704,0.14731505515757057,state0,0.23023023023023023,0.2046767187859516,0.3048647370860443
A,0.12985964912280704,0.14731505515757057,state0,0.24024024024024024,0.20535089394415335,0.30278848875873055
A,0.12985964912280704,0.14731505515757057,state0,0.2502502502502503,0.20597714469578587,0.3007587090794108
A,0.12985964912280704,0.14731505515757057,state0,0.2602602602602603,0.20655721940605312,0.2987739051868869
A,0.12985964912280704,0.14731505515757057,state0,0.2702702702702703,0.2070928053786811,0.2968326346371339
A,0.12985964912280704,0.14731505515757057,state0,0.2802802802802803,0.20758553114152103,0.29493350376665994
A,0.12985964912280704,0.14731505515757057,state0,0.2902902902902903,0.20803696863495147,0.2930751661072928
A,0.12985964912280704,0.14731505515757057,state0,0.3003003003003003,0.20844863530815383,0.29125632085075814
A,0.12985964912280704,0.14731505515757057,state0,0.3103103103103103,0.2088219961279894,0.28947571136147815
A,0.12985964912280704,0.14731505515757057,state0,0.3203203203203203,0.20915846550488873,0.28773212373606943
A,0.12985964912280704,0.14731505515757057,state0,0.3303303303303303,0.2094594091398751,0.28602438540807557
A,0.12985964912280704,0.14731505515757057,state0,0.34034034034034033,0.2097261457965813,0.28435136379651943
A,0.12985964912280704,0.14731505515757057,state0,0.35035035035035034,0.20995994900187337,0.2827119649969078
A,0.12985964912280704,0.14731505515757057,state0,0.36036036036036034,0.21016204867847582,0.2811051325133668
A,0.12985964912280704,0.14731505515757057,state0,0.37037037037037035,0.21033363271278438,0.27952984603063197
A,0.12985964912280704,0.14731505515757057,state0,0.38038038038038036,0.21047584846086717,0.2779851202246575
A,0.12985964912280704,0.14731505515757057,state0,0.39039039039039036,0.2105898041954772,0.27647000361065
A,0.12985964912280704,0.14731505515757057,state0,0.40040040040040037,0.21067657049674063,0.2749835774273709
A,0.12985964912280704,0.14731505515757057,state0,0.41041041041041043,0.2107371815890339,0.27352495455658926
A,0.12985964912280704,0.14731505515757057,state0,0.42042042042042044,0.21077263662642615,0.27209327847660053
A,0.12985964912280704,0.14731505515757057,state0,0.43043043043043044,0.21078390092893187,0.2706877222487642
A,0.12985964912280704,0.14731505515757057,state0,0.44044044044044045,0.21077190717170238,0.26930748753604355
A,0.12985964912280704,0.14731505515757057,state0,0.45045045045045046,0.2107375565291696,0.26795180365256366
A,0.12985964912280704,0.14731505515757057,state0,0.46046046046046046,0.2106817197760541,0.26661992664323486
A,0.12985964912280704,0.14731505515757057,state0,0.47047047047047047,0.21060523834705086,0.26531113839251746
A,0.12985964912280704,0.14731505515757057,state0,0.4804804804804805,0.2105089253569149,0.26402474576143314
A,0.12985964912280704,0.14731505515757057,state0,0.4904904904904905,0.21039356658258512,0.2627600797519547
A,0.12985964912280704,0.14731505515757057,state0,0.5005005005005005,0.21025992140890296,0.26151649469793387
A,0.12985964912280704,0.14731505515757057,state0,0.5105105105105106,0.2101087237394088,0.2602933674817513
A,0.12985964912280704,0.14731505515757057,state0,0.5205205205205206,0.20994068287362813,0.25909009677589845
A,0.12985964912280704,0.14731505515757057,state0,0.5305305305305306,0.2097564843521931,0.2579061023087255
A,0.12985964912280704,0.14731505515757057,state0,0.5405405405405406,0.20955679077108233,0.2567408241536113
A,0.12985964912280704,0.14731505515757057,state0,0.5505505505505506,0.20934224256620423,0.25559372204083525
A,0.12985964912280704,0.14731505515757057,state0,0.5605605605605606,0.20911345876949147,0.2544642746914523
A,0.12985964912280704,0.14731505515757057,state0,0.5705705705705706,0.2088710377376241,0.25335197917249347
A,0.12985964912280704,0.14731505515757057,state0,0.5805805805805806,0.20861555785444727,0.2522563502728347
A,0.12985964912280704,0.14731505515757057,state0,0.5905905905905906,0.20834757820810396,0.25117691989909574
A,0.12985964912280704,0.14731505515757057,state0,0.6006006006006006,0.2080676392438581,0.25011323649095285
A,0.12985964912280704,0.14731505515757057,state0,0.6106106106106106,0.2077762633935411,0.24906486445526402
A,0.12985964912280704,0.14731505515757057,state0,0.6206206206206206,0.20747395568251628,0.24803138361842594
A,0.12985964912280704,0.14731505515757057,state0,0.6306306306306306,0.2071612043150152,0.24701238869639927
A,0.12985964912280704,0.14731505515757057,state0,0.6406406406406406,0.20683848123866758,0.2460074887818545
A,0.12985964912280704,0.14731505515757057,state0,0.6506506506506506,0.20650624268900838,0.24501630684790843
A,0.12985964912280704,0.14731505515757057,state0,0.6606606606606606,0.20616492971471675,0.2440384792679371
A,0.12985964912280704,0.14731505515757057,state0,0.6706706706706707,0.2058149686843072,0.2430736553509652
A,0.12985964912280704,0.14731505515757057,state0,0.6806806806806807,0.20545677177496738,0.24212149689215
A,0.12985964912280704,0.14731505515757057,state0,0.6906906906906907,0.20509073744420558,0.24118167773788848
A,0.12985964912280704,0.14731505515757057,state0,0.7007007007007007,0.20471725088494652,0.2402538833650942
A,0.12985964912280704,0.14731505515757057,state0,0.7107107107107107,0.20433668446468797,0.23933781047420175
A,0.12985964912280704,0.14731505515757057,state0,0.7207207207207207,0.20394939814930532,0.23843316659547165
A,0.12985964912280704,0.14731505515757057,state0,0.7307307307307307,0.20355573991206985,0.23753966970817972
A,0.12985964912280704,0.14731505515757057,state0,0.7407407407407407,0.20315604612842258,0.23665704787228958
A,0.12985964912280704,0.14731505515757057,state0,0.7507507507507507,0.2027506419570255,0.2357850388722175
A,0.12985964912280704,0.14731505515757057,state0,0.7607607607607607,0.2023398417075908,0.23492338987231146
A,0.12985964912280704,0.14731505515757057,state0,0.7707707707707707,0.20192394919597062,0.23407185708367775
A,0.12985964912280704,0.14731505515757057,state0,0.7807807807807807,0.20150325808696926,0.23323020544199924
A,0.12985964912280704,0.14731505515757057,state0,0.7907907907907907,0.20107805222532454,0.23239820829600077
A,0.12985964912280704,0.14731505515757057,state0,0.8008008008008007,0.20064860595528564,0.23157564710622713
A,0.12985964912280704,0.14731505515757057,state0,0.8108108108108109,0.2002151844292002,0.23076231115380952
A,0.12985964912280704,0.14731505515757057,state0,0.8208208208208209,0.19977804390550685,0.22995799725890687
A,0.12985964912280704,0.14731505515757057,state0,0.8308308308308309,0.19933743203651444,0.22916250950851644
A,0.12985964912280704,0.14731505515757057,state0,0.8408408408408409,0.19889358814633593,0.22837565899335915
A,0.12985964912280704,0.14731505515757057,state0,0.8508508508508509,0.19844674349932934,0.22759726355355347
A,0.12985964912280704,0.14731505515757057,state0,0.8608608608608609,0.19799712155938667,0.2268271475327999
A,0.12985964912280704,0.14731505515757057,state0,0.8708708708708709,0.19754493824039815,0.22606514154080742
A,0.12985964912280704,0.14731505515757057,state0,0.8808808808808809,0.19709040214820697,0.22531108222370125
A,0.12985964912280704,0.14731505515757057,state0,0.8908908908908909,0.19663371481435815,0.2245648120421594
A,0.12985964912280704,0.14731505515757057,state0,0.9009009009009009,0.19617507092193454,0.22382617905703237
A,0.12985964912280704,0.14731505515757057,state0,0.9109109109109109,0.1957146585237608,0.22309503672220968
A,0.12985964912280704,0.14731505515757057,state0,0.9209209209209209,0.19525265925324745,0.22237124368450273
A,0.12985964912280704,0.14731505515757057,state0,0.9309309309309309,0.19478924852813553,0.2216546635903203
A,0.12985964912280704,0.14731505515757057,state0,0.9409409409409409,0.19432459574739475,0.22094516489892216
A,0.12985964912280704,0.14731505515757057,state0,0.950950950950951,0.1938588644815163,0.22024262070203993
A,0.12985964912280704,0.14731505515757057,state0,0.960960960960961,0.19339221265643547,0.21954690854966308
A,0.12985964912280704,0.14731505515757057,state0,0.970970970970971,0.1929247927313084,0.21885791028179322
A,0.12985964912280704,0.14731505515757057,state0,0.980980980980981,0.19245675187035993,0.21817551186597578
A,0.12985964912280704,0.14731505515757057,state0,0.990990990990991,0.1919882321090127,0.217499603240425
A,0.12985964912280704,0.14731505515757057,state0,1.001001001001001,0.19151937051449772,0.21683007816256253
