point_id,phi1_inf,phi2_inf,state,from_guess,gamma,cs1,cs2,cs,phi1_0,phi2_0
A,0.12985964912280704,0.14731505515757057,state0,exp_bothup,-0.05504681963645142,0.13320950044854396,0.1901970279640404,0.3234065284125843,0.17077739112380816,0.36978558133404493
A,0.12985964912280704,0.14731505515757057,state1,lin_bothup_0p3,-0.05504607031819036,0.3024871833730052,0.3695502567982781,0.6720374401712832,0.24123010562703504,0.44882584211229354
B,0.17995989974937346,0.1187894567264485,state0,exp_bothup,-0.028343002273479002,0.08131120734965444,0.11358387103146438,0.1948950783811188,0.1845024169200867,0.28675948485360414
B,0.17995989974937346,0.1187894567264485,state1,lin_bothup_0p3,-0.028342360618302635,0.43973057174167196,0.4393919394299384,0.8791225111716103,0.3127556704416528,0.4163839743544717
C,0.2,0.1141381198834435,state0,exp_bothup,-0.021032884440887162,0.0796047950727394,0.10744228243483309,0.1870470775075725,0.20023209869222544,0.27524710107097106
C,0.2,0.1141381198834435,state1,lin_bothup_0p3,-0.021030828128966436,0.433111154778051,0.4152150509529679,0.8483262057310189,0.3237656532853524,0.3962710643675434
