stage,rel,chi_12,chi_13,chi_23,omega_1,omega_2,chi_bb_11,chi_bb_22,chi_bb_12,pw_length,dist_mean,n_points,n_segments,gap_total,full_length,dist_max,dist_min,residual_rms,pca_span,n_branch,is_single,flag
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,0.02,0.0,0.04994664,0.01683247,25,1,0.0,0.04994664,0.02060794,0.01467052,7.681e-05,0.04992727,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,0.04,0.0,0.04841144,0.01669111,26,1,0.0,0.04841144,0.02015867,0.01467885,6.044e-05,0.04840483,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,0.06,0.0,0.04834904,0.01674429,25,1,0.0,0.04834904,0.02014254,0.014687,5.997e-05,0.04834242,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,0.08,0.0,0.05052641,0.01680025,28,1,0.0,0.05052641,0.0207996,0.01469499,7.41e-05,0.05050033,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,0.1,0.0,0.05069679,0.01686966,27,1,0.0,0.05069679,0.02084883,0.01470281,7.575e-05,0.0506686,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_m0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,-0.02,0.0,0.04858648,0.01661322,25,1,0.0,0.04858648,0.02020484,0.01465332,6.605e-05,0.0485797,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_m0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,-0.04,0.0,0.04863836,0.01660376,25,1,0.0,0.04863836,0.02021875,0.01464442,6.926e-05,0.04863132,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_m0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,-0.06,0.0,0.04868514,0.01659402,25,1,0.0,0.04868514,0.02023137,0.01463533,7.284e-05,0.04867777,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_m0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,-0.08,0.0,0.032524,0.01658128,23,2,0.01620104,0.04872504,0.0202422,0.01462603,7.903e-05,0.04871732,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p04__chibb22_m0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.04,-0.1,0.0,0.03252685,0.01644255,22,1,0.0,0.03252685,0.02002457,0.01461651,5.92e-05,0.03252048,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.0,0.0,0.0338237,0.01913429,16,1,0.0,0.0338237,0.02214516,0.01747013,6.428e-05,0.03381864,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.02,0.0,0.03382158,0.01914593,16,1,0.0,0.03382158,0.02214535,0.01747972,6.372e-05,0.03381658,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.04,0.0,0.03516904,0.01913767,18,1,0.0,0.03516904,0.02214554,0.01727528,6.577e-05,0.03516376,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.06,0.0,0.03516709,0.01906158,19,1,0.0,0.03516709,0.02214573,0.01728318,6.471e-05,0.03516181,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.08,0.0,0.03516511,0.01941682,19,2,0.01752528,0.05269039,0.0240458,0.01729093,8.01e-05,0.05268415,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,0.1,0.0,0.03516324,0.01933027,20,2,0.01749673,0.05265997,0.02403547,0.01729851,7.511e-05,0.05265397,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_m0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,-0.02,0.0,0.03382594,0.01892631,18,1,0.0,0.03382594,0.02214497,0.01725051,6.502e-05,0.03382066,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_m0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,-0.04,0.0,0.03382814,0.0190002,17,1,0.0,0.03382814,0.02214478,0.01724189,6.587e-05,0.03382287,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_m0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,-0.06,0.0,0.03382847,0.01898095,16,1,0.0,0.03382847,0.02214458,0.01723307,6.814e-05,0.03382511,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_m0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,-0.08,0.0,0.03248315,0.01886189,16,1,0.0,0.03248315,0.02214439,0.01742938,6.518e-05,0.03247796,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p06__chibb22_m0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.06,-0.1,0.0,0.03248558,0.01883614,16,1,0.0,0.03248558,0.02214419,0.01721482,6.583e-05,0.03248037,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.0,0.0,0.02159433,0.02141525,16,1,0.0,0.02159433,0.02339209,0.0198799,1.202e-05,0.02159409,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.02,0.0,0.02970337,0.02143568,17,1,0.0,0.02970337,0.02340598,0.01988786,2.747e-05,0.02970262,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.04,0.0,0.02159292,0.02143852,16,1,0.0,0.02159292,0.0234199,0.01989565,1.107e-05,0.02159271,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.06,0.0,0.02159221,0.02144975,16,1,0.0,0.02159221,0.02343366,0.01990327,1.068e-05,0.02159202,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.08,0.0,0.02159151,0.02150193,17,1,0.0,0.02159151,0.0234472,0.01991074,1.021e-05,0.02159133,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,0.1,0.0,0.02293893,0.02163233,18,1,0.0,0.02293893,0.0236651,0.01991806,1.192e-05,0.0229387,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_m0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,-0.02,0.0,0.02024692,0.02127154,15,1,0.0,0.02024692,0.02311037,0.01987177,1.009e-05,0.02024673,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_m0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,-0.04,0.0,0.02024774,0.02125932,15,1,0.0,0.02024774,0.02309538,0.01986346,1.045e-05,0.02024754,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_m0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,-0.06,0.0,0.0202486,0.02126475,15,1,0.0,0.0202486,0.02308012,0.01985496,1.112e-05,0.02024837,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_m0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,-0.08,0.0,0.02024944,0.02125192,15,1,0.0,0.02024944,0.02306469,0.01984626,1.156e-05,0.02024919,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p08__chibb22_m0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.08,-0.1,0.0,0.02025027,0.02123877,15,1,0.0,0.02025027,0.0230493,0.01983737,1.21e-05,0.02024999,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.0,0.0,0.03942266,0.02388605,18,1,0.0,0.03942266,0.02761794,0.02250744,0.00023143,0.03911566,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.02,0.0,0.03973145,0.02399605,18,1,0.0,0.03973145,0.02766635,0.02251508,0.00027318,0.03929477,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.04,0.0,0.04009852,0.02404534,20,1,0.0,0.04009852,0.02771266,0.02252257,0.00029181,0.03946243,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.06,0.0,0.04093729,0.02410962,20,1,0.0,0.04093729,0.02775727,0.0225299,0.00034093,0.03962092,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.08,0.0,0.03237644,0.02413038,20,1,0.0,0.03237644,0.02635623,0.02253708,3.344e-05,0.03237543,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,0.1,0.0,0.03237543,0.02411713,20,1,0.0,0.03237543,0.02636793,0.02254412,3.118e-05,0.03237444,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_m0p02__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,-0.02,0.0,0.03906267,0.02378904,16,1,0.0,0.03906267,0.02757729,0.02249962,0.00019382,0.0389619,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_m0p04__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,-0.04,0.0,0.03886617,0.02379881,17,1,0.0,0.03886617,0.02753602,0.02249163,0.00014221,0.03880339,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_m0p06__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,-0.06,0.0,0.03869461,0.02375895,15,1,0.0,0.03869461,0.02749402,0.02248346,0.00014398,0.03863806,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_m0p08__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,-0.08,0.0,0.03849902,0.02377062,16,1,0.0,0.03849902,0.0274511,0.0224751,9.411e-05,0.03846573,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p3/chibb11_m0p1__chibb22_m0p1__chibb12_0,0.0,2.8,0.0,-0.4,-0.3,-0.1,-0.1,0.0,0.03831467,0.02377308,15,1,0.0,0.03831467,0.02740699,0.02246656,9.175e-05,0.03828374,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.32,0.0,0.0,0.0,0.04715399,0.01160585,31,1,0.0,0.04715399,0.01623185,0.00956459,0.00032876,0.04527851,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.34,0.0,0.0,0.0,0.04511995,0.01150248,29,1,0.0,0.04511995,0.01622424,0.00948879,0.00022505,0.04454392,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.36,0.0,0.0,0.0,0.0439343,0.01131811,26,1,0.0,0.0439343,0.01621601,0.00940948,0.00015226,0.04380937,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.38,0.0,0.0,0.0,0.04315249,0.01122358,25,1,0.0,0.04315249,0.01620713,0.00932655,0.00013403,0.04306014,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.4,0.0,0.0,0.0,0.04048892,0.01107948,24,1,0.0,0.04048892,0.01619759,0.00923986,8.938e-05,0.04047315,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.42,0.0,0.0,0.0,0.04073367,0.01099556,23,1,0.0,0.04073367,0.01618734,0.00914924,0.00011118,0.04071341,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.44,0.0,0.0,0.0,0.02731419,0.01083335,21,1,0.0,0.02731419,0.01617639,0.00905449,0.00010207,0.02729299,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.46,0.0,0.0,0.0,0.03950746,0.01102934,19,1,0.0,0.03950746,0.01616469,0.00895535,0.00014614,0.03947741,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.48,0.0,0.0,0.0,0.02600251,0.01163522,11,1,0.0,0.02600251,0.01615223,0.00910122,0.00013306,0.02597381,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p4__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.4,-0.5,0.0,0.0,0.0,0.00415576,0.01209748,5,2,0.02050683,0.02466259,0.01613897,0.00969591,8.69e-05,0.02463817,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.3,0.0,0.0,0.0,0.01488448,0.02052608,12,1,0.0,0.01488448,0.02355973,0.01905579,4.188e-05,0.01488039,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p32/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.32,0.0,0.0,0.0,0.01489143,0.02065569,9,1,0.0,0.01489143,0.02355203,0.01900154,4.994e-05,0.01488626,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p34/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.34,0.0,0.0,0.0,0.01354985,0.02079756,9,1,0.0,0.01354985,0.02354371,0.01894612,5.159e-05,0.01354399,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p36/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.36,0.0,0.0,0.0,0.01355455,0.02058663,4,1,0.0,0.01355455,0.02353474,0.01889025,6.954e-05,0.01355043,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p38/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.38,0.0,0.0,0.0,0.01085992,0.02059957,3,1,0.0,0.01085992,0.0235251,0.01901511,1.97e-05,0.01085902,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p4/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.4,0.0,0.0,0.0,0.00951614,0.02135775,2,1,0.0,0.00951614,0.02351478,0.01920072,0.0,0.00951614,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p42/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.42,0.0,0.0,0.0,0.00952388,0.0213225,2,1,0.0,0.00952388,0.02350377,0.01914123,0.0,0.00952388,1,1,
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p44/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.44,0.0,0.0,0.0,,,0,0,,,,,,,0,0,no_prewetting
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p46/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.46,0.0,0.0,0.0,0.0,0.02347956,1,1,0.0,0.0,0.02347956,0.02347956,0.0,0.0,1,0,too_few_points
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p48/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.48,0.0,0.0,0.0,0.0,0.02346633,1,1,0.0,0.0,0.02346633,0.02346633,0.0,0.0,1,0,too_few_points
chi12_0__chi13_2p8__chi23_0,chi12_0__chi13_2p8__chi23_0/om1_m0p5__om2_m0p5/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,0.0,-0.5,-0.5,0.0,0.0,0.0,,,0,0,,,,,,,0,0,no_prewetting
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p38__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.38,-0.3,0.0,0.0,0.0,0.16011648,0.01139693,407,1,0.0,0.16011648,0.01528347,0.00024413,0.0032773,0.14430401,3,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p39__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.39,-0.3,0.0,0.0,0.0,0.16010803,0.01175776,406,1,0.0,0.16010803,0.01580587,0.00012076,0.00332667,0.14378135,3,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p41__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.41,-0.3,0.0,0.0,0.0,0.14463136,0.012562,400,1,0.0,0.14463136,0.01686601,0.0007314,0.0032941,0.14272882,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p42__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.42,-0.3,0.0,0.0,0.0,0.14416153,0.01291375,398,1,0.0,0.14416153,0.01740928,0.00162262,0.00331844,0.14220093,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p43__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.43,-0.3,0.0,0.0,0.0,0.14369079,0.01321595,397,1,0.0,0.14369079,0.01794233,0.00252179,0.00335735,0.14167475,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p44__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.44,-0.3,0.0,0.0,0.0,0.14322048,0.01352215,395,1,0.0,0.14322048,0.01850074,0.00252941,0.00337771,0.14114896,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_0,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,0.0,0.14275111,0.01380455,393,1,0.0,0.14275111,0.01905065,0.0019419,0.00339566,0.14062546,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_0p05,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,0.05,0.16128579,0.01264974,397,1,0.0,0.16128579,0.01731756,0.00057561,0.00310639,0.14082049,7,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_0p1,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,0.1,0.15821365,0.01157706,397,1,0.0,0.15821365,0.01560138,0.00059119,0.00261532,0.14096918,6,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_0p2,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,0.2,0.15422978,0.0094075,398,1,0.0,0.15422978,0.01236661,0.00036659,0.00162704,0.14114432,7,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_m0p05,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,-0.05,0.14322371,0.01478935,392,1,0.0,0.14322371,0.02079029,0.00172387,0.00387288,0.14037926,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_m0p1,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,-0.1,0.14373071,0.01572161,391,1,0.0,0.14373071,0.0225366,0.00151936,0.00432748,0.14007108,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0__chibb12_m0p2,0.0,2.8,2.6,-0.45,-0.3,0.0,0.0,-0.2,0.14477771,0.01726089,389,1,0.0,0.14477771,0.02598691,0.00104417,0.00522858,0.13927204,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0p025__chibb12_0,0.0,2.8,2.6,-0.45,-0.3,0.0,0.025,0.0,0.14574944,0.01301234,400,1,0.0,0.14574944,0.01841538,0.00194637,0.00343237,0.14360218,1,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0p05__chibb12_0,0.0,2.8,2.6,-0.45,-0.3,0.0,0.05,0.0,0.1689025,0.01217004,412,1,0.0,0.1689025,0.01783681,0.00077346,0.00361739,0.14613347,7,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_0p1__chibb12_0,0.0,2.8,2.6,-0.45,-0.3,0.0,0.1,0.0,0.1846718,0.0104817,432,1,0.0,0.1846718,0.01697802,8.651e-05,0.00350444,0.1471345,16,0,
chi12_0__chi13_2p8__chi23_2p6,chi12_0__chi13_2p8__chi23_2p6/om1_m0p45__om2_m0p3/chibb11_0__chibb22_m0p025__chibb12_0,0.0,2.8,2.6,-0.45,-0.3,0.0,-0.025,0.0,0.13949269,0.01469982,385,1,0.0,0.13949269,0.01974649,0.00193734,0.00333092,0.13741033,1,0,
