source,phi1_inf,phi2_inf
fix_phi2,0.09215050280608457,0.0001
fix_phi2,0.09226523359260319,0.0006010025062656643
fix_phi2,0.09236466177907013,0.0011020050125313285
fix_phi2,0.09246433793601647,0.0016030075187969926
fix_phi2,0.0925658356675903,0.0021040100250626567
fix_phi2,0.09266857688259313,0.002605012531328321
fix_phi2,0.09277222873182416,0.003106015037593985
fix_phi2,0.09286791924930277,0.0036070175438596493
fix_phi2,0.09296501853737989,0.004108020050125314
fix_phi2,0.09306408529900341,0.004609022556390978
fix_phi2,0.09316460031297581,0.005110025062656643
fix_phi2,0.09326623665101495,0.005611027568922307
fix_phi2,0.09336207190940492,0.0061120300751879705
fix_phi2,0.09345839287084165,0.006613032581453635
fix_phi2,0.09355647297444626,0.007114035087719299
fix_phi2,0.09365593764177378,0.0076150375939849635
fix_phi2,0.09375653082417859,0.008116040100250627
fix_phi2,0.09385301285615474,0.00861704260651629
fix_phi2,0.09394903576329224,0.009118045112781956
fix_phi2,0.09404663813042112,0.009619047619047619
fix_phi2,0.09414554104114382,0.010120050125313284
fix_phi2,0.09424554310976024,0.010621052631578948
fix_phi2,0.09434276874647106,0.011122055137844613
fix_phi2,0.09443873441307835,0.011623057644110276
fix_phi2,0.0945361358431301,0.01212406015037594
fix_phi2,0.09463475888459406,0.012625062656641605
fix_phi2,0.0947344427660166,0.013126065162907269
fix_phi2,0.09483240098457175,0.013627067669172934
fix_phi2,0.09492845639881872,0.014128070175438597
fix_phi2,0.09502583183052002,0.014629072681704262
fix_phi2,0.0951243588960167,0.015130075187969926
fix_phi2,0.09522390750771896,0.015631077694235593
fix_phi2,0.09532255256271732,0.016132080200501255
fix_phi2,0.0954187952406099,0.01663308270676692
fix_phi2,0.09551626319013153,0.01713408521303258
fix_phi2,0.09561482162062095,0.017635087719298247
fix_phi2,0.0957143641612825,0.018136090225563912
fix_phi2,0.09581363952228515,0.018637092731829577
fix_phi2,0.09591013660500557,0.01913809523809524
fix_phi2,0.09600778022752524,0.019639097744360904
fix_phi2,0.0961064610587337,0.02014010025062657
fix_phi2,0.09620609147482119,0.02064110275689223
fix_phi2,0.09630593868914551,0.021142105263157896
fix_phi2,0.09640273694232601,0.02164310776942356
fix_phi2,0.09650061550225884,0.022144110275689226
fix_phi2,0.09659948487100992,0.022645112781954888
fix_phi2,0.09669927255785296,0.023146115288220553
fix_phi2,0.09679963459550131,0.02364711779448622
fix_phi2,0.09689676631974038,0.02414812030075188
fix_phi2,0.09699492210666814,0.024649122807017546
fix_phi2,0.09709402828707585,0.02515012531328321
fix_phi2,0.0971940248300692,0.025651127819548876
fix_phi2,0.09729484719040947,0.026152130325814538
fix_phi2,0.09739233400525292,0.026653132832080203
fix_phi2,0.09749079680256394,0.027154135338345868
fix_phi2,0.0975901748265123,0.027655137844611533
fix_phi2,0.09769041850167524,0.028156140350877195
fix_phi2,0.0977914877984368,0.02865714285714286
fix_phi2,0.09788950476696612,0.029158145363408525
fix_phi2,0.09798829488745296,0.029659147869674187
fix_phi2,0.09808796972170347,0.030160150375939852
fix_phi2,0.09818848863333979,0.030661152882205518
fix_phi2,0.09828981916150527,0.031162155388471183
fix_phi2,0.09838830976356543,0.03166315789473685
fix_phi2,0.0984874401920754,0.03216416040100251
fix_phi2,0.09858742900309009,0.032665162907268175
fix_phi2,0.09868824334825047,0.033166165413533844
fix_phi2,0.09878985753508891,0.033667167919799505
fix_phi2,0.09888875409439542,0.03416817042606517
fix_phi2,0.09898823204780635,0.034669172932330836
fix_phi2,0.09908854586540962,0.0351701754385965
fix_phi2,0.09918966961728796,0.035671177944862166
fix_phi2,0.09929158378198673,0.03617218045112783
fix_phi2,0.09939082219306751,0.03667318295739349
fix_phi2,0.09949065028658727,0.03717418546365916
fix_phi2,0.09959129525901941,0.03767518796992482
fix_phi2,0.09969273745307872,0.03817619047619048
fix_phi2,0.0997949630915743,0.03867719298245615
fix_phi2,0.0998944817804435,0.03917819548872181
fix_phi2,0.0999946589209012,0.039679197994987474
fix_phi2,0.10009563728593349,0.04018020050125314
fix_phi2,0.10019740302972616,0.040681203007518804
fix_phi2,0.10029994784226869,0.041182205513784466
fix_phi2,0.10039968682916284,0.041683208020050135
fix_phi2,0.10050020891543257,0.042184210526315796
fix_phi2,0.10060151977151471,0.042685213032581465
fix_phi2,0.10070361106121187,0.04318621553884713
fix_phi2,0.10080630707885718,0.04368721804511279
fix_phi2,0.10090637983564377,0.04418822055137846
fix_phi2,0.10100724032132143,0.04468922305764412
fix_phi2,0.10110888025751129,0.04519022556390978
fix_phi2,0.10121129666065296,0.04569122807017545
fix_phi2,0.1013140794432303,0.04619223057644111
fix_phi2,0.10141449359893262,0.04669323308270677
fix_phi2,0.10151568395648707,0.04719423558897244
fix_phi2,0.10161764758396265,0.0476952380952381
fix_phi2,0.10172038683338022,0.048196240601503765
fix_phi2,0.10182321044398475,0.04869724310776943
fix_phi2,0.101923952643876,0.049198245614035095
fix_phi2,0.10202546275922998,0.049699248120300764
fix_phi2,0.10212774317719349,0.050200250626566426
fix_phi2,0.10223080171240652,0.05070125313283209
fix_phi2,0.10233361874354506,0.051202255639097756
fix_phi2,0.10243467438520892,0.05170325814536342
fix_phi2,0.10253649290507753,0.05220426065162908
fix_phi2,0.10263908212782555,0.05270526315789475
fix_phi2,0.10274245561597574,0.05320626566416041
fix_phi2,0.10284521662996161,0.05370726817042607
fix_phi2,0.10294657010118033,0.05420827067669174
fix_phi2,0.10304868475142988,0.0547092731829574
fix_phi2,0.10315157412048687,0.05521027568922307
fix_phi2,0.10325525798840124,0.05571127819548873
fix_phi2,0.10335791087141967,0.056212280701754394
fix_phi2,0.10345954576579029,0.05671328320802006
fix_phi2,0.10356194365694377,0.057214285714285724
fix_phi2,0.10366512426191238,0.057715288220551386
fix_phi2,0.10376911427438679,0.058216290726817055
fix_phi2,0.1038716034553729,0.05871729323308272
fix_phi2,0.1039735027744634,0.05921829573934838
fix_phi2,0.10407617071005229,0.05971929824561405
fix_phi2,0.10417963384455368,0.06022030075187971
fix_phi2,0.10428392677248298,0.06072130325814537
fix_phi2,0.10438619223738459,0.06122230576441104
fix_phi2,0.1044883385872492,0.0617233082706767
fix_phi2,0.10459126339209186,0.06222431077694237
fix_phi2,0.10469500107760932,0.06272531328320803
fix_phi2,0.10479959551554228,0.0632263157894737
fix_phi2,0.10490157151552207,0.06372731829573935
fix_phi2,0.10500394730506168,0.06422832080200502
fix_phi2,0.10510711619419774,0.06472932330827069
fix_phi2,0.10521112181666076,0.06523032581453635
fix_phi2,0.10531581509304717,0.06573132832080202
fix_phi2,0.10541763253807641,0.06623233082706768
fix_phi2,0.105520220187024,0.06673333333333334
fix_phi2,0.10562362120298402,0.06723433583959901
fix_phi2,0.10572789032803474,0.06773533834586468
