case,source,dist_max,dist_mean,dist_min,full_length,gap_total,n_points,n_segments,new_to_old_max,new_to_old_median,new_to_old_p95,old_to_new_max,old_to_new_median,old_to_new_p95,pw_length
om1_m0p18__om2_m0p3,archive_150,0.016708212934662004,0.0017633270115252693,0.0001847530407494741,0.18837743661723863,0.01583228501532856,108,2,,,,,,,0.17254515160191009
om1_m0p18__om2_m0p3,recompute_400,0.0049786962227329765,0.0008825616876489775,5.311326287488777e-05,0.14429163968036118,0.0,229,1,0.0028939866710667593,0.00037986109512486095,0.001032312116626346,0.016118663316517384,0.00020374440345853888,0.004180893097538464,0.14429163968036118
om1_m0p3__om2_m0p18,archive_150,0.013294942161694807,0.006139641745445428,0.0016809007816039126,0.1152969285061101,0.0,72,1,,,,,,,0.1152969285061101
om1_m0p3__om2_m0p18,recompute_400,0.013536393465585994,0.00597483063419574,0.0001585734357035734,0.10661920953148638,0.0,206,1,0.002893977098716574,0.00036940163519508473,0.0013103668249749509,0.008526411750365497,0.00014289113808002736,0.0002449756854770171,0.10661920953148638
