phi1,phi2
0.09560899437851342,0.010555902560899439
0.09560899437851342,0.011111805121798875
0.09616489693941285,0.011667707682698314
0.09616489693941285,0.012223610243597752
0.09616489693941285,0.01277951280449719
0.09616489693941285,0.013335415365396628
0.0967207995003123,0.013891317926296064
0.0967207995003123,0.014447220487195503
0.0967207995003123,0.015003123048094941
0.09727670206121174,0.015559025608994378
0.09727670206121174,0.016114928169893815
0.09727670206121174,0.016670830730793253
0.09727670206121174,0.017226733291692692
0.09783260462211117,0.01778263585259213
0.09783260462211117,0.01833853841349157
0.09783260462211117,0.018894440974391004
0.0983885071830106,0.019450343535290446
0.0983885071830106,0.02000624609618988
0.0983885071830106,0.02056214865708932
0.09894440974391004,0.021118051217988758
0.09894440974391004,0.021673953778888193
0.09894440974391004,0.022229856339787635
0.09894440974391004,0.02278575890068707
0.09950031230480949,0.023341661461586508
0.09950031230480949,0.023897564022485947
0.09950031230480949,0.024453466583385382
0.10005621486570893,0.025009369144284824
0.10005621486570893,0.02556527170518426
0.10005621486570893,0.0261211742660837
0.10005621486570893,0.026677076826983136
0.10061211742660836,0.02723297938788257
0.10061211742660836,0.027788881948782013
0.10061211742660836,0.028344784509681448
0.1011680199875078,0.02890068707058089
0.1011680199875078,0.029456589631480325
0.1011680199875078,0.03001249219237976
0.10172392254840724,0.0305683947532792
0.10172392254840724,0.031124297314178637
0.10172392254840724,0.03168019987507808
0.10227982510930668,0.032236102435977514
0.10227982510930668,0.03279200499687695
0.10227982510930668,0.03334790755777639
0.10227982510930668,0.033903810118675826
0.10283572767020611,0.03445971267957527
0.10283572767020611,0.0350156152404747
0.10283572767020611,0.03557151780137414
0.10339163023110555,0.03612742036227358
0.10339163023110555,0.036683322923173015
0.10339163023110555,0.037239225484072457
0.10394753279200498,0.03779512804497189
0.10394753279200498,0.03835103060587133
0.10394753279200498,0.03890693316677077
0.10450343535290443,0.039462835727670204
0.10450343535290443,0.040018738288569645
0.10450343535290443,0.04057464084946908
0.10505933791380387,0.04113054341036852
0.10505933791380387,0.04168644597126796
0.10505933791380387,0.0422423485321674
0.10505933791380387,0.042798251093066834
0.1056152404747033,0.04335415365396627
0.1056152404747033,0.04391005621486571
0.1056152404747033,0.044465958775765146
0.10617114303560274,0.04502186133666459
0.10617114303560274,0.04557776389756402
0.10617114303560274,0.04613366645846346
0.10672704559650217,0.0466895690193629
0.10672704559650217,0.047245471580262335
0.10672704559650217,0.04780137414116178
0.10728294815740162,0.04835727670206121
0.10728294815740162,0.04891317926296065
0.10728294815740162,0.04946908182386009
0.10783885071830106,0.050024984384759524
0.10783885071830106,0.050580886945658966
0.10783885071830106,0.0511367895065584
