loop_index,branch,row,phi1,phi2,phi1_conj,phi2_conj,gamma,gamma_conj,sigma,delta,thin_ok,reason,n_states,n_uncoated,from_guess,max_dev,cs_total,gamma_coated
165,0,76,0.41059376,0.24413415,0.25708884,0.11954846,-0.00950405,nan,0.00450592,nan,1,,1,1,lin_thin,0.14602174,0.08873641,nan
166,0,75,0.41041621,0.24592195,0.25487313,0.11936738,-0.01024559,-0.00279334,0.00470280,-0.01215506,1,,1,1,lin_thin,0.14603477,0.08740930,nan
167,0,74,0.41021129,0.24769295,0.25268918,0.11920752,-0.01098808,-0.00333093,0.00490034,-0.01255749,1,,1,1,lin_thin,0.14604991,0.08615605,nan
168,0,73,0.40998009,0.24944787,0.25053593,0.11906815,-0.01173150,-0.00387006,0.00509839,-0.01295983,1,,1,1,lin_thin,0.14606700,0.08497123,nan
169,0,72,0.40972360,0.25118741,0.24841244,0.11894863,-0.01247586,-0.00441037,0.00529681,-0.01336229,1,,1,1,lin_thin,0.14608588,0.08385000,nan
170,0,71,0.40944274,0.25291218,0.24631779,0.11884835,-0.01322114,-0.00495169,0.00549546,-0.01376491,1,,1,1,lin_thin,0.14610640,0.08278794,nan
171,0,70,0.40913837,0.25462277,0.24425116,0.11876676,-0.01396733,-0.00549389,0.00569422,-0.01416766,1,,1,1,lin_thin,0.14612844,0.08178110,nan
172,0,69,0.40881129,0.25631971,0.24221177,0.11870335,-0.01471444,-0.00603691,0.00589295,-0.01457049,1,,1,1,lin_thin,0.14615188,0.08082588,nan
173,0,68,0.40846225,0.25800351,0.24019892,0.11865766,-0.01546245,-0.00658069,0.00609154,-0.01497330,1,,1,1,lin_thin,0.14617665,0.07991902,nan
174,0,67,0.40809194,0.25967461,0.23821191,0.11862924,-0.01621135,-0.00712520,0.00628986,-0.01537600,1,,1,1,lin_thin,0.14620263,0.07905753,nan
175,0,66,0.40770102,0.26133345,0.23625013,0.11861770,-0.01696112,-0.00767042,0.00648778,-0.01577849,1,,1,1,lin_thin,0.14622975,0.07823870,nan
176,0,65,0.40729010,0.26298044,0.23431299,0.11862265,-0.01771177,-0.00821634,0.00668520,-0.01618063,1,,1,1,lin_thin,0.14625795,0.07746006,nan
177,0,64,0.40685977,0.26461594,0.23239993,0.11864377,-0.01846327,-0.00876296,0.00688200,-0.01658231,1,,1,1,lin_thin,0.14628716,0.07671933,nan
178,0,63,0.40641057,0.26624029,0.23051044,0.11868072,-0.01921561,-0.00931027,0.00707807,-0.01698341,1,,1,1,lin_thin,0.14631731,0.07601444,nan
179,0,62,0.40594301,0.26785383,0.22864403,0.11873320,-0.01996879,-0.00985829,0.00727329,-0.01738380,1,,1,1,lin_thin,0.14634837,0.07534345,nan
180,0,61,0.40545758,0.26945686,0.22680023,0.11880095,-0.02072279,-0.01040701,0.00746756,-0.01778334,1,,1,1,lin_thin,0.14638028,0.07470463,nan
181,0,60,0.40495473,0.27104965,0.22497862,0.11888370,-0.02147760,-0.01095647,0.00766078,-0.01818191,1,,1,1,lin_thin,0.14641300,0.07409633,nan
182,0,59,0.40443491,0.27263248,0.22317878,0.11898122,-0.02223319,-0.01150667,0.00785284,-0.01857937,1,,1,1,lin_thin,0.14644649,0.07351706,nan
183,0,58,0.40389853,0.27420559,0.22140033,0.11909327,-0.02298957,-0.01205762,0.00804363,-0.01897558,1,,1,1,lin_thin,0.14648073,0.07296544,nan
184,0,57,0.40334597,0.27576921,0.21964290,0.11921967,-0.02374671,-0.01260936,0.00823307,-0.01937042,1,,1,1,lin_thin,0.14651568,0.07244018,nan
185,0,56,0.40277761,0.27732356,0.21790615,0.11936020,-0.02450459,-0.01316190,0.00842105,-0.01976374,1,,1,1,lin_thin,0.14655132,0.07194010,nan
186,0,55,0.40219381,0.27886884,0.21618973,0.11951470,-0.02526321,-0.01371527,0.00860748,-0.02015542,1,,1,1,lin_thin,0.14658763,0.07146410,nan
187,0,54,0.40159491,0.28040525,0.21449334,0.11968300,-0.02602255,-0.01426949,0.00879225,-0.02054532,1,,1,1,lin_thin,0.14662457,0.07101114,nan
188,0,53,0.40098121,0.28193296,0.21281669,0.11986494,-0.02678259,-0.01482459,0.00897529,-0.02093329,1,,1,1,lin_thin,0.14666215,0.07058029,nan
189,0,52,0.40035304,0.28345214,0.21115948,0.12006039,-0.02754331,-0.01538060,0.00915650,-0.02131921,1,,1,1,lin_thin,0.14670033,0.07017066,nan
190,0,51,0.39971069,0.28496294,0.20952145,0.12026920,-0.02830469,-0.01593755,0.00933579,-0.02170294,1,,1,1,lin_thin,0.14673912,0.06978142,nan
191,0,50,0.39905444,0.28646552,0.20790234,0.12049126,-0.02906673,-0.01649546,0.00951308,-0.02208434,1,,1,1,lin_thin,0.14677848,0.06941180,nan
192,0,49,0.39838455,0.28796000,0.20630190,0.12072644,-0.02982939,-0.01705438,0.00968827,-0.02246328,1,,1,1,lin_thin,0.14681843,0.06906110,nan
193,0,48,0.39770129,0.28944653,0.20471990,0.12097466,-0.03059267,-0.01761434,0.00986129,-0.02283963,1,,1,1,lin_thin,0.14685894,0.06872865,nan
194,0,47,0.39700490,0.29092521,0.20315611,0.12123580,-0.03135655,-0.01817536,0.01003206,-0.02321324,1,,1,1,lin_thin,0.14690002,0.06841381,nan
195,0,46,0.39629562,0.29239615,0.20161032,0.12150979,-0.03212100,-0.01873750,0.01020048,-0.02358398,1,,1,1,lin_thin,0.14694165,0.06811602,nan
196,0,45,0.39557369,0.29385947,0.20008232,0.12179653,-0.03288600,-0.01930077,0.01036650,-0.02395173,1,,1,1,lin_thin,0.14698384,0.06783473,nan
197,0,44,0.39483930,0.29531526,0.19857191,0.12209595,-0.03365154,-0.01986523,0.01053001,-0.02431633,1,,1,1,lin_thin,0.14702658,0.06756942,nan
198,0,43,0.39409269,0.29676362,0.19707891,0.12240799,-0.03441760,-0.02043090,0.01069097,-0.02467767,1,,1,1,lin_thin,0.14706988,0.06731964,nan
199,0,42,0.39333406,0.29820461,0.19560313,0.12273258,-0.03518416,-0.02099784,0.01084927,-0.02503560,1,,1,1,lin_thin,0.14711372,0.06708493,nan
200,0,41,0.39256359,0.29963833,0.19414440,0.12306965,-0.03595119,-0.02156607,0.01100487,-0.02538999,1,,1,1,lin_thin,0.14715812,0.06686488,nan
201,0,40,0.39178147,0.30106484,0.19270254,0.12341917,-0.03671868,-0.02213566,0.01115768,-0.02574070,1,,1,1,lin_thin,0.14720307,0.06665910,nan
202,0,39,0.39098790,0.30248421,0.19127740,0.12378109,-0.03748660,-0.02270663,0.01130763,-0.02608761,1,,1,1,lin_thin,0.14724859,0.06646723,nan
203,0,38,0.39018304,0.30389651,0.18986883,0.12415536,-0.03825494,-0.02327903,0.01145466,-0.02643057,1,,1,1,lin_thin,0.14729466,0.06628893,nan
204,0,37,0.38936707,0.30530178,0.18847666,0.12454194,-0.03902366,-0.02385291,0.01159871,-0.02676945,1,,1,1,lin_thin,0.14734131,0.06612389,nan
205,0,36,0.38854014,0.30670008,0.18710075,0.12494081,-0.03979275,-0.02442833,0.01173970,-0.02710412,1,,1,1,lin_thin,0.14738853,0.06597182,nan
206,0,35,0.38770242,0.30809146,0.18574097,0.12535194,-0.04056219,-0.02500532,0.01187757,-0.02743445,1,,1,1,lin_thin,0.14743634,0.06583243,nan
207,0,34,0.38685406,0.30947595,0.18439718,0.12577529,-0.04133196,-0.02558394,0.01201227,-0.02776029,1,,1,1,lin_thin,0.14748474,0.06570548,nan
208,0,33,0.38599522,0.31085360,0.18306924,0.12621086,-0.04210202,-0.02616424,0.01214373,-0.02808151,1,,1,1,lin_thin,0.14753373,0.06559072,nan
209,0,32,0.38512602,0.31222443,0.18175704,0.12665863,-0.04287236,-0.02674628,0.01227190,-0.02839798,1,,1,1,lin_thin,0.14758333,0.06548793,nan
210,0,31,0.38424662,0.31358849,0.18046044,0.12711858,-0.04364295,-0.02733012,0.01239672,-0.02870955,1,,1,1,lin_thin,0.14763356,0.06539692,nan
211,0,30,0.38335715,0.31494579,0.17917934,0.12759070,-0.04441378,-0.02791581,0.01251813,-0.02901609,1,,1,1,lin_thin,0.14768441,0.06531748,nan
212,0,29,0.38245774,0.31629635,0.17791360,0.12807499,-0.04518481,-0.02850342,0.01263608,-0.02931747,1,,1,1,lin_thin,0.14773591,0.06524944,nan
213,0,28,0.38154851,0.31764020,0.17666313,0.12857144,-0.04595602,-0.02909302,0.01275052,-0.02961352,1,,1,1,lin_thin,0.14778806,0.06519264,nan
214,0,27,0.38062959,0.31897735,0.17542782,0.12908006,-0.04672739,-0.02968467,0.01286140,-0.02990412,1,,1,1,lin_thin,0.14784088,0.06514694,nan
215,0,26,0.37970111,0.32030781,0.17420755,0.12960085,-0.04749889,-0.03027845,0.01296868,-0.03018912,1,,1,1,lin_thin,0.14789437,0.06511219,nan
216,0,25,0.37876317,0.32163159,0.17300222,0.13013381,-0.04827050,-0.03087443,0.01307229,-0.03046836,1,,1,1,lin_thin,0.14794857,0.06508828,nan
217,0,24,0.37781589,0.32294869,0.17181175,0.13067894,-0.04904218,-0.03147271,0.01317221,-0.03074169,1,,1,1,lin_thin,0.14800348,0.06507509,nan
218,0,23,0.37685938,0.32425913,0.17063602,0.13123628,-0.04981393,-0.03207336,0.01326839,-0.03100895,1,,1,1,lin_thin,0.14805911,0.06507251,nan
219,0,22,0.37589375,0.32556289,0.16947495,0.13180581,-0.05058570,-0.03267650,0.01336078,-0.03126998,1,,1,1,lin_thin,0.14811549,0.06508047,nan
220,0,21,0.37491909,0.32685997,0.16832844,0.13238756,-0.05135748,-0.03328224,0.01344935,-0.03152459,1,,1,1,lin_thin,0.14817264,0.06509887,nan
221,0,20,0.37393552,0.32815038,0.16719641,0.13298155,-0.05212923,-0.03389069,0.01353405,-0.03177260,1,,1,1,lin_thin,0.14823056,0.06512765,nan
222,0,19,0.37294313,0.32943410,0.16607877,0.13358780,-0.05290094,-0.03450201,0.01361485,-0.03201379,1,,1,1,lin_thin,0.14828928,0.06516675,nan
223,0,18,0.37194202,0.33071111,0.16497542,0.13420633,-0.05367257,-0.03511636,0.01369173,-0.03224794,1,,1,1,lin_thin,0.14834882,0.06521612,nan
224,0,17,0.37093227,0.33198141,0.16388630,0.13483716,-0.05444410,-0.03573398,0.01376463,-0.03247475,1,,1,1,lin_thin,0.14840920,0.06527571,nan
225,0,16,0.36991398,0.33324498,0.16281132,0.13548032,-0.05521550,-0.03635516,0.01383354,-0.03269387,1,,1,1,lin_thin,0.14847044,0.06534550,nan
226,0,15,0.36888724,0.33450180,0.16175039,0.13613583,-0.05598674,-0.03698040,0.01389841,-0.03290475,1,,1,1,lin_thin,0.14853256,0.06542547,nan
227,0,14,0.36785213,0.33575185,0.16070345,0.13680373,-0.05675780,nan,0.01395924,nan,1,,1,1,lin_thin,0.14859559,0.06551558,nan
228,0,13,0.36680874,0.33699511,0.15967042,0.13748405,-0.05752865,nan,0.01401598,nan,1,,1,1,lin_thin,0.14865954,0.06561585,nan
229,0,12,0.36575714,0.33823154,0.15865121,0.13817681,-0.05829926,nan,0.01406862,nan,1,,1,1,lin_thin,0.14872445,0.06572627,nan
230,0,11,0.36469742,0.33946113,0.15764578,0.13888207,-0.05906960,nan,0.01411713,nan,1,,1,1,lin_thin,0.14879034,0.06584685,nan
231,0,10,0.36362965,0.34068385,0.15665403,0.13959984,-0.05983964,nan,0.01416149,nan,1,,1,1,lin_thin,0.14885723,0.06597762,nan
232,0,9,0.36255391,0.34189965,0.15567591,0.14033017,-0.06060936,nan,0.01420168,nan,1,,1,1,lin_thin,0.14892514,0.06611859,nan
233,0,8,0.36147027,0.34310851,0.15471134,0.14107310,-0.06137873,nan,0.01423769,nan,1,,1,1,lin_thin,0.14899412,0.06626980,nan
234,0,7,0.36037879,0.34431039,0.15376027,0.14182867,-0.06214772,nan,0.01426949,nan,1,,1,1,lin_thin,0.14906418,0.06643130,nan
235,0,6,0.35927956,0.34550526,0.15282263,0.14259692,-0.06291630,nan,0.01429709,nan,1,,1,1,lin_thin,0.14913536,0.06660314,nan
236,0,5,0.35817262,0.34669306,0.15189834,0.14337790,-0.06368444,nan,0.01432046,nan,1,,1,1,lin_thin,0.14920769,0.06678537,nan
237,0,4,0.35705805,0.34787377,0.15098737,0.14417165,-0.06445211,nan,0.01433959,nan,1,,1,1,lin_thin,0.14928119,0.06697806,nan
238,0,3,0.35593592,0.34904733,0.15008964,0.14497822,-0.06521929,nan,0.01435448,nan,1,,1,1,lin_thin,0.14935590,0.06718130,nan
239,0,2,0.35480627,0.35021370,0.14920509,0.14579766,-0.06598594,nan,0.01436512,nan,1,,1,1,lin_thin,0.14943186,0.06739515,nan
240,0,1,0.35366916,0.35137283,0.14833367,0.14663001,-0.06675204,nan,0.01437151,nan,1,,1,1,lin_thin,0.14950909,0.06761971,nan
241,0,0,0.35252467,0.35252467,0.14747533,0.14747533,-0.06751755,nan,0.01437364,nan,1,,1,1,lin_thin,0.14958763,0.06785509,nan
242,1,0,0.35252467,0.35252467,0.14747533,0.14747533,-0.06751755,nan,0.01437364,nan,1,,1,1,lin_thin,0.14958763,0.06785509,nan
243,1,1,0.35137283,0.35366916,0.14663001,0.14833367,-0.06828245,nan,0.01437151,nan,1,,1,1,lin_thin,0.14966753,0.06810138,nan
244,1,2,0.35021370,0.35480627,0.14579766,0.14920509,-0.06904671,nan,0.01436512,nan,1,,1,1,lin_thin,0.14974881,0.06835871,nan
245,1,3,0.34904733,0.35593592,0.14497822,0.15008964,-0.06981030,nan,0.01435448,nan,1,,1,1,lin_thin,0.14983152,0.06862721,nan
246,1,4,0.34787377,0.35705805,0.14417165,0.15098737,-0.07057318,nan,0.01433959,nan,1,,1,1,lin_thin,0.14991570,0.06890699,nan
247,1,5,0.34669306,0.35817262,0.14337790,0.15189834,-0.07133533,nan,0.01432046,nan,1,,1,1,lin_thin,0.15000138,0.06919822,nan
248,1,6,0.34550526,0.35927956,0.14259692,0.15282263,-0.07209672,nan,0.01429709,nan,1,,1,1,lin_thin,0.15008862,0.06950103,nan
249,1,7,0.34431039,0.36037879,0.14182867,0.15376027,-0.07285733,nan,0.01426949,nan,1,,1,1,lin_thin,0.15017745,0.06981560,nan
250,1,8,0.34310851,0.36147027,0.14107310,0.15471134,-0.07361711,nan,0.01423769,nan,1,,1,1,lin_thin,0.15026792,0.07014210,nan
251,1,9,0.34189965,0.36255391,0.14033017,0.15567591,-0.07437604,nan,0.01420168,nan,1,,1,1,lin_thin,0.15036008,0.07048070,nan
252,1,10,0.34068385,0.36362965,0.13959984,0.15665403,-0.07513409,nan,0.01416149,nan,1,,1,1,lin_thin,0.15045398,0.07083160,nan
253,1,11,0.33946113,0.36469742,0.13888207,0.15764578,-0.07589123,nan,0.01411713,nan,1,,1,1,lin_thin,0.15054967,0.07119500,nan
254,1,12,0.33823154,0.36575714,0.13817681,0.15865121,-0.07664743,nan,0.01406862,nan,1,,1,1,lin_thin,0.15064719,0.07157111,nan
255,1,13,0.33699511,0.36680874,0.13748405,0.15967042,-0.07740266,nan,0.01401598,nan,1,,1,1,lin_thin,0.15074661,0.07196015,nan
256,1,14,0.33575185,0.36785213,0.13680373,0.16070345,-0.07815689,nan,0.01395924,nan,1,,1,1,lin_thin,0.15084798,0.07236237,nan
257,1,15,0.33450180,0.36888724,0.13613583,0.16175039,-0.07891009,nan,0.01389841,nan,1,,1,1,lin_thin,0.15095135,0.07277801,nan
258,1,16,0.33324498,0.36991398,0.13548032,0.16281132,-0.07966222,nan,0.01383354,nan,1,,1,1,lin_thin,0.15105679,0.07320733,nan
259,1,17,0.33198141,0.37093227,0.13483716,0.16388630,-0.08041327,nan,0.01376463,nan,1,,1,1,lin_thin,0.15116435,0.07365060,nan
260,1,18,0.33071111,0.37194202,0.13420633,0.16497542,-0.08116320,nan,0.01369173,nan,1,,1,1,lin_thin,0.15127411,0.07410811,nan
261,1,19,0.32943410,0.37294313,0.13358780,0.16607877,-0.08191198,nan,0.01361485,nan,1,,1,1,lin_thin,0.15138612,0.07458016,nan
262,1,20,0.32815038,0.37393552,0.13298155,0.16719641,-0.08265958,nan,0.01353405,nan,1,,1,1,lin_thin,0.15150045,0.07506706,nan
263,1,21,0.32685997,0.37491909,0.13238756,0.16832844,-0.08340597,nan,0.01344935,nan,1,,1,1,lin_thin,0.15161718,0.07556915,nan
264,1,22,0.32556289,0.37589375,0.13180581,0.16947495,-0.08415112,nan,0.01336078,nan,1,,1,1,lin_thin,0.15173638,0.07608677,nan
265,1,23,0.32425913,0.37685938,0.13123628,0.17063602,-0.08489500,nan,0.01326839,nan,1,,1,1,lin_thin,0.15185811,0.07662028,nan
266,1,24,0.32294869,0.37781589,0.13067894,0.17181175,-0.08563758,nan,0.01317221,nan,1,,1,1,lin_thin,0.15198247,0.07717006,nan
267,1,25,0.32163159,0.37876317,0.13013381,0.17300222,-0.08637883,nan,0.01307229,nan,1,,1,1,lin_thin,0.15210953,0.07773652,nan
268,1,26,0.32030781,0.37970111,0.12960085,0.17420755,-0.08711872,nan,0.01296868,nan,1,,1,1,lin_thin,0.15223937,0.07832006,nan
269,1,27,0.31897735,0.38062959,0.12908006,0.17542782,-0.08785723,nan,0.01286140,nan,1,,1,1,lin_thin,0.15237209,0.07892112,nan
270,1,28,0.31764020,0.38154851,0.12857144,0.17666313,-0.08859431,nan,0.01275052,nan,1,,1,1,lin_thin,0.15250776,0.07954016,nan
271,1,29,0.31629635,0.38245774,0.12807499,0.17791360,-0.08932994,nan,0.01263608,nan,1,,1,1,lin_thin,0.15264649,0.08017767,nan
272,1,30,0.31494579,0.38335715,0.12759070,0.17917934,-0.09006409,nan,0.01251813,nan,1,,1,1,lin_thin,0.15278838,0.08083413,nan
273,1,31,0.31358849,0.38424662,0.12711858,0.18046044,-0.09079674,nan,0.01239672,nan,1,,1,1,lin_thin,0.15293352,0.08151008,nan
274,1,32,0.31222443,0.38512602,0.12665863,0.18175704,-0.09152784,nan,0.01227190,nan,1,,1,1,lin_thin,0.15308201,0.08220608,nan
275,1,33,0.31085360,0.38599522,0.12621086,0.18306924,-0.09225738,nan,0.01214373,nan,1,,1,1,lin_thin,0.15323397,0.08292269,nan
276,1,34,0.30947595,0.38685406,0.12577529,0.18439718,-0.09298532,nan,0.01201227,nan,1,,1,1,lin_thin,0.15338952,0.08366053,nan
277,1,35,0.30809146,0.38770242,0.12535194,0.18574097,-0.09371163,nan,0.01187757,nan,1,,1,1,lin_thin,0.15354875,0.08442023,nan
278,1,36,0.30670008,0.38854014,0.12494081,0.18710075,-0.09443628,nan,0.01173970,nan,1,,1,1,lin_thin,0.15371181,0.08520247,nan
279,1,37,0.30530178,0.38936707,0.12454194,0.18847666,-0.09515924,nan,0.01159871,nan,1,,1,1,lin_thin,0.15387882,0.08600794,nan
280,1,38,0.30389651,0.39018304,0.12415536,0.18986883,-0.09588048,nan,0.01145466,nan,1,,1,1,lin_thin,0.15404991,0.08683739,nan
281,1,39,0.30248421,0.39098790,0.12378109,0.19127740,-0.09659998,nan,0.01130763,nan,1,,1,1,lin_thin,0.15422521,0.08769159,nan
282,1,40,0.30106484,0.39178147,0.12341917,0.19270254,-0.09731769,nan,0.01115768,nan,1,,1,1,lin_thin,0.15440488,0.08857136,nan
283,1,41,0.29963833,0.39256359,0.12306965,0.19414440,-0.09803360,nan,0.01100487,nan,1,,1,1,lin_thin,0.15458905,0.08947756,nan
284,1,42,0.29820461,0.39333406,0.12273258,0.19560313,-0.09874767,nan,0.01084927,nan,1,,1,1,lin_thin,0.15477790,0.09041108,nan
285,1,43,0.29676362,0.39409269,0.12240799,0.19707891,-0.09945987,nan,0.01069097,nan,1,,1,1,lin_thin,0.15497158,0.09137290,nan
286,1,44,0.29531526,0.39483930,0.12209595,0.19857191,-0.10017017,nan,0.01053001,nan,1,,1,1,lin_thin,0.15517026,0.09236400,nan
287,1,45,0.29385947,0.39557369,0.12179653,0.20008232,-0.10087855,nan,0.01036650,nan,1,,1,1,lin_thin,0.15537412,0.09338545,nan
288,1,46,0.29239615,0.39629562,0.12150979,0.20161032,-0.10158496,nan,0.01020048,nan,1,,1,1,lin_thin,0.15558335,0.09443836,nan
289,1,47,0.29092521,0.39700490,0.12123580,0.20315611,-0.10228938,nan,0.01003206,nan,1,,1,1,lin_thin,0.15579814,0.09552392,nan
290,1,48,0.28944653,0.39770129,0.12097466,0.20471990,-0.10299179,nan,0.00986129,nan,1,,1,1,lin_thin,0.15601870,0.09664337,nan
291,1,49,0.28796000,0.39838455,0.12072644,0.20630190,-0.10369214,nan,0.00968827,nan,1,,1,1,lin_thin,0.15624524,0.09779803,nan
292,1,50,0.28646552,0.39905444,0.12049126,0.20790234,-0.10439041,nan,0.00951308,nan,1,,1,1,lin_thin,0.15647798,0.09898930,nan
293,1,51,0.28496294,0.39971069,0.12026920,0.20952145,-0.10508656,nan,0.00933579,nan,1,,1,1,lin_thin,0.15671716,0.10021865,nan
294,1,52,0.28345214,0.40035304,0.12006039,0.21115948,-0.10578057,nan,0.00915650,nan,1,,1,1,lin_thin,0.15696303,0.10148766,nan
295,1,53,0.28193296,0.40098121,0.11986494,0.21281669,-0.10647240,nan,0.00897529,nan,1,,1,1,lin_thin,0.15721585,0.10279799,nan
296,1,54,0.28040525,0.40159491,0.11968300,0.21449334,-0.10716203,nan,0.00879225,nan,1,,1,1,lin_thin,0.15747588,0.10415140,nan
297,1,55,0.27886884,0.40219381,0.11951470,0.21618973,-0.10784941,nan,0.00860748,nan,1,,1,1,lin_thin,0.15774342,0.10554977,nan
298,1,56,0.27732356,0.40277761,0.11936020,0.21790615,-0.10853452,nan,0.00842105,nan,1,,1,1,lin_thin,0.15801876,0.10699510,nan
299,1,57,0.27576921,0.40334597,0.11921967,0.21964290,-0.10921733,nan,0.00823307,nan,1,,1,1,lin_thin,0.15830223,0.10848952,nan
300,1,58,0.27420559,0.40389853,0.11909327,0.22140033,-0.10989779,nan,0.00804363,nan,1,,1,1,lin_thin,0.15859415,0.11003530,nan
301,1,59,0.27263248,0.40443491,0.11898122,0.22317878,-0.11057589,nan,0.00785284,nan,1,,1,1,lin_thin,0.15889489,0.11163487,nan
302,1,60,0.27104965,0.40495473,0.11888370,0.22497862,-0.11125158,nan,0.00766078,nan,1,,1,1,lin_thin,0.15920482,0.11329080,nan
303,1,61,0.26945686,0.40545758,0.11880095,0.22680023,-0.11192483,nan,0.00746756,nan,1,,1,1,lin_thin,0.15952433,0.11500588,nan
304,1,62,0.26785383,0.40594301,0.11873320,0.22864403,-0.11259560,nan,0.00727329,nan,1,,1,1,lin_thin,0.15985384,0.11678308,nan
305,1,63,0.26624029,0.40641057,0.11868072,0.23051044,-0.11326387,nan,0.00707807,nan,1,,1,1,lin_thin,0.16019379,0.11862557,nan
306,1,64,0.26461594,0.40685977,0.11864377,0.23239993,-0.11392959,nan,0.00688200,nan,1,,1,1,lin_thin,0.16054466,0.12053680,nan
307,1,65,0.26298044,0.40729010,0.11862265,0.23431299,-0.11459272,nan,0.00668520,nan,1,,1,1,lin_thin,0.16090695,0.12252043,nan
308,1,66,0.26133345,0.40770102,0.11861770,0.23625013,-0.11525324,nan,0.00648778,nan,1,,1,1,lin_thin,0.16128119,0.12458044,nan
309,1,67,0.25967461,0.40809194,0.11862924,0.23821191,-0.11591110,nan,0.00628986,nan,1,,1,1,lin_thin,0.16166794,0.12672112,nan
310,1,68,0.25800351,0.40846225,0.11865766,0.24019892,-0.11656627,nan,0.00609154,nan,1,,1,1,lin_thin,0.16206782,0.12894710,nan
311,1,69,0.25631971,0.40881129,0.11870335,0.24221177,-0.11721869,nan,0.00589295,nan,1,,1,1,lin_thin,0.16248147,0.13126340,nan
312,1,70,0.25462277,0.40913837,0.11876676,0.24425116,-0.11786835,nan,0.00569422,nan,1,,1,1,lin_thin,0.16290957,0.13367545,nan
313,1,71,0.25291218,0.40944274,0.11884835,0.24631779,-0.11851518,nan,0.00549546,nan,1,,1,1,lin_thin,0.16335288,0.13618919,nan
314,1,72,0.25118741,0.40972360,0.11894863,0.24841244,-0.11915916,nan,0.00529681,nan,1,,1,1,lin_thin,0.16381219,0.13881105,nan
315,1,73,0.24944787,0.40998009,0.11906815,0.25053593,-0.11980023,nan,0.00509839,nan,1,,1,1,lin_thin,0.16428835,0.14154807,nan
316,1,74,0.24769295,0.41021129,0.11920752,0.25268918,-0.12043835,nan,0.00490034,nan,1,,1,1,lin_thin,0.16478230,0.14440794,nan
317,1,75,0.24592195,0.41041621,0.11936738,0.25487313,-0.12107347,nan,0.00470280,nan,1,,1,1,lin_thin,0.16529502,0.14739913,nan
318,1,76,0.24413415,0.41059376,0.11954846,0.25708884,-0.12170555,nan,0.00450592,nan,1,,1,1,lin_thin,0.16582760,0.15053089,nan
319,1,77,0.24232873,0.41074280,0.11975151,0.25933744,-0.12233454,nan,0.00430983,nan,1,,1,1,lin_thin,0.16638121,0.15381347,nan
320,1,78,0.24050482,0.41086205,0.11997740,0.26162017,-0.12296038,nan,0.00411468,nan,1,,1,1,lin_thin,0.16695712,0.15725816,nan
321,1,79,0.23866146,0.41095015,0.12022706,0.26393837,-0.12358301,nan,0.00392064,nan,1,,1,1,lin_thin,0.16755673,0.16087750,nan
322,1,80,0.23679760,0.41100559,0.12050151,0.26629352,-0.12420240,nan,0.00372786,nan,1,,1,1,lin_thin,0.16818156,0.16468543,nan
323,1,81,0.23491207,0.41102672,0.12080189,0.26868724,-0.12481846,nan,0.00353651,nan,1,,1,1,lin_thin,0.16883328,0.16869747,nan
324,1,82,0.23300359,0.41101174,0.12112945,0.27112129,-0.12543115,nan,0.00334676,nan,1,,1,1,lin_thin,0.16951373,0.17293105,nan
325,1,83,0.23107075,0.41095866,0.12148557,0.27359767,-0.12604039,nan,0.00315880,nan,1,,1,1,lin_thin,0.17022495,0.17740572,nan
326,1,84,0.22911196,0.41086525,0.12187182,0.27611854,-0.12664613,nan,0.00297279,nan,1,,1,1,lin_thin,0.17096919,0.18214355,nan
327,1,85,0.22712547,0.41072906,0.12228993,0.27868634,-0.12724828,nan,0.00278895,nan,1,,1,1,lin_thin,0.17174898,0.18716957,nan
328,1,86,0.22510928,0.41054732,0.12274185,0.28130381,-0.12784677,nan,0.00260747,nan,1,,1,1,lin_thin,0.17256713,0.19251225,nan
329,1,87,0.22306117,0.41031694,0.12322979,0.28397402,-0.12844153,nan,0.00242856,nan,1,,1,1,lin_thin,0.17342683,0.19820421,nan
330,1,88,0.22097859,0.41003440,0.12375626,0.28670045,-0.12903245,nan,0.00225246,nan,1,,1,1,lin_thin,0.17433166,0.20428298,nan
331,1,89,0.21885865,0.40969570,0.12432413,0.28948708,-0.12961945,nan,0.00207940,nan,1,,1,1,lin_thin,0.17528575,0.21079203,nan
332,1,90,0.21669800,0.40929626,0.12493671,0.29233846,-0.13020243,nan,0.00190962,nan,1,,1,1,lin_thin,0.17629380,0.21778203,nan
333,1,91,0.21449279,0.40883076,0.12559785,0.29525988,-0.13078128,nan,0.00174341,nan,1,,1,1,lin_thin,0.17736126,0.22531250,nan
334,1,92,0.21223847,0.40829301,0.12631205,0.29825751,-0.13135588,nan,0.00158104,nan,1,,1,1,lin_thin,0.17849451,0.23345398,nan
335,1,93,0.20992968,0.40767568,0.12708463,0.30133863,-0.13192609,nan,0.00142283,nan,1,,1,1,lin_thin,0.17970108,0.24229080,nan
336,1,94,0.20756002,0.40697006,0.12792199,0.30451196,-0.13249177,nan,0.00126911,nan,1,,1,1,lin_thin,0.18098995,0.25192488,nan
337,1,95,0.20512169,0.40616555,0.12883189,0.30778803,-0.13305276,nan,0.00112027,nan,1,,1,1,lin_thin,0.18237200,0.26248097,nan
338,1,96,0.20260511,0.40524916,0.12982388,0.31117983,-0.13360887,nan,0.00097669,nan,1,,1,1,lin_thin,0.18386062,0.27411404,nan
