loop_index,branch,row,phi1,phi2,phi1_conj,phi2_conj,gamma,gamma_conj,sigma,delta,thin_ok,reason,n_states,n_uncoated,from_guess,max_dev,cs_total,gamma_coated
38,0,38,0.18986883,0.12415536,0.39018304,0.30389651,-0.02327903,-0.03825494,0.01145466,0.00352124,1,,2,1,lin_thin,0.15235915,0.15529212,-0.02670787
39,0,39,0.19127740,0.12378109,0.39098790,0.30248421,-0.02270663,-0.03748660,0.01130763,0.00347234,1,,2,1,lin_thin,0.15163929,0.15338305,-0.02608504
40,0,40,0.19270254,0.12341917,0.39178147,0.30106484,-0.02213566,-0.03671868,0.01115768,0.00342535,1,,2,1,lin_thin,0.15094750,0.15156375,-0.02546548
41,0,41,0.19414440,0.12306965,0.39256359,0.29963833,-0.02156607,-0.03595119,0.01100487,0.00338025,1,,2,1,lin_thin,0.15028276,0.14983143,-0.02484914
42,0,42,0.19560313,0.12273258,0.39333406,0.29820461,-0.02099784,-0.03518416,0.01084927,0.00333705,1,,2,1,lin_thin,0.14964417,0.14818381,-0.02423596
43,0,43,0.19707891,0.12240799,0.39409269,0.29676362,-0.02043090,-0.03441760,0.01069097,0.00329574,1,,2,1,lin_thin,0.14903092,0.14661907,-0.02362590
44,0,44,0.19857191,0.12209595,0.39483930,0.29531526,-0.01986523,-0.03365154,0.01053001,0.00325630,1,,2,1,lin_thin,0.14844233,0.14513583,-0.02301889
45,0,45,0.20008232,0.12179653,0.39557369,0.29385947,-0.01930077,-0.03288600,0.01036650,0.00321873,1,,2,1,lin_thin,0.14787778,0.14373315,-0.02241489
46,0,46,0.20161032,0.12150979,0.39629562,0.29239615,-0.01873750,-0.03212100,0.01020048,0.00318302,1,,2,1,lin_thin,0.14733676,0.14241051,-0.02181384
47,0,47,0.20315611,0.12123580,0.39700490,0.29092521,-0.01817536,-0.03135655,0.01003206,0.00314912,1,,2,1,lin_thin,0.14681883,0.14116780,-0.02121567
48,0,48,0.20471990,0.12097466,0.39770129,0.28944653,-0.01761434,-0.03059267,0.00986129,0.00311704,1,,2,1,lin_thin,0.14632364,0.14000537,-0.02062032
49,0,49,0.20630190,0.12072644,0.39838455,0.28796000,-0.01705438,-0.02982939,0.00968827,0.00308674,1,,2,1,lin_thin,0.14585090,0.13892400,-0.02002773
50,0,50,0.20790234,0.12049126,0.39905444,0.28646552,-0.01649546,-0.02906673,0.00951308,0.00305818,1,,2,1,lin_thin,0.14540042,0.13792492,-0.01943782
51,0,51,0.20952145,0.12026920,0.39971069,0.28496294,-0.01593755,-0.02830469,0.00933579,0.00303135,1,,2,1,lin_thin,0.14497208,0.13700990,-0.01885054
52,0,52,0.21115948,0.12006039,0.40035304,0.28345214,-0.01538060,-0.02754331,0.00915650,0.00300621,1,,2,1,lin_thin,0.14456586,0.13618123,-0.01826581
53,0,53,0.21281669,0.11986494,0.40098121,0.28193296,-0.01482459,-0.02678259,0.00897529,0.00298270,1,,2,1,lin_thin,0.14418180,0.13544181,-0.01768355
54,0,54,0.21449334,0.11968300,0.40159491,0.28040525,-0.01426949,-0.02602255,0.00879225,0.00296081,1,,2,1,lin_thin,0.14382006,0.13479522,-0.01710370
55,0,55,0.21618973,0.11951470,0.40219381,0.27886884,-0.01371527,-0.02526321,0.00860748,0.00294047,1,,2,1,lin_thin,0.14348091,0.13424579,-0.01652616
56,0,56,0.21790615,0.11936020,0.40277761,0.27732356,-0.01316190,-0.02450459,0.00842105,0.00292164,1,,2,1,lin_thin,0.14316472,0.13379873,-0.01595087
57,0,57,0.21964290,0.11921967,0.40334597,0.27576921,-0.01260936,-0.02374671,0.00823307,0.00290428,1,,2,1,lin_thin,0.14287203,0.13346024,-0.01537774
58,0,58,0.22140033,0.11909327,0.40389853,0.27420559,-0.01205762,-0.02298957,0.00804363,0.00288831,1,,2,1,lin_thin,0.14260351,0.13323774,-0.01480669
59,0,59,0.22317878,0.11898122,0.40443491,0.27263248,-0.01150667,-0.02223319,0.00785284,0.00287369,1,,2,1,lin_thin,0.14236003,0.13314003,-0.01423762
60,0,60,0.22497862,0.11888370,0.40495473,0.27104965,-0.01095647,-0.02147760,0.00766078,0.00286035,1,,2,1,lin_thin,0.14214270,0.13317764,-0.01367045
61,0,61,0.22680023,0.11880095,0.40545758,0.26945686,-0.01040701,-0.02072279,0.00746756,0.00284821,1,,2,1,lin_thin,0.14195288,0.13336312,-0.01310509
62,0,62,0.22864403,0.11873320,0.40594301,0.26785383,-0.00985829,-0.01996879,0.00727329,0.00283722,1,,2,1,lin_thin,0.14179230,0.13371162,-0.01254144
63,0,63,0.23051044,0.11868072,0.40641057,0.26624029,-0.00931027,-0.01921561,0.00707807,0.00282728,1,,2,1,lin_thin,0.14166311,0.13424147,-0.01197941
64,0,64,0.23239993,0.11864377,0.40685977,0.26461594,-0.00876296,-0.01846327,0.00688200,0.00281831,1,,2,1,lin_thin,0.14156802,0.13497508,-0.01141889
65,0,65,0.23431299,0.11862265,0.40729010,0.26298044,-0.00821634,-0.01771177,0.00668520,0.00281022,1,,2,1,lin_thin,0.14151046,0.13594018,-0.01085979
66,0,66,0.23625013,0.11861770,0.40770102,0.26133345,-0.00767042,-0.01696112,0.00648778,0.00280292,1,,2,1,lin_thin,0.14149485,0.13717155,-0.01030199
67,0,67,0.23821191,0.11862924,0.40809194,0.25967461,-0.00712520,-0.01621135,0.00628986,0.00279629,1,,2,1,lin_thin,0.14152696,0.13871357,-0.00974540
68,0,68,0.24019892,0.11865766,0.40846225,0.25800351,-0.00658069,-0.01546245,0.00609154,0.00279022,1,,2,1,lin_thin,0.14161447,0.14062413,-0.00918990
69,0,69,0.24221177,0.11870335,0.40881129,0.25631971,-0.00603691,-0.01471444,0.00589295,0.00278458,1,,2,1,lin_thin,0.14176792,0.14298079,-0.00863537
70,0,70,0.24425116,0.11876676,0.40913837,0.25462277,-0.00549389,-0.01396733,0.00569422,0.00277922,1,,2,1,lin_thin,0.14200223,0.14589124,-0.00808170
71,0,71,0.24631779,0.11884835,0.40944274,0.25291218,-0.00495169,-0.01322114,0.00549546,0.00277399,1,,2,1,lin_thin,0.14233957,0.14951206,-0.00752877
72,0,72,0.24841244,0.11894863,0.40972360,0.25118741,-0.00441037,-0.01247586,0.00529681,0.00276868,1,,2,1,lin_thin,0.14281513,0.15408618,-0.00697646
73,0,73,0.25053593,0.11906815,0.40998009,0.24944787,-0.00387006,-0.01173150,0.00509839,0.00276305,1,,2,1,lin_thin,0.14349037,0.16002866,-0.00642464
74,0,74,0.25268918,0.11920752,0.41021129,0.24769295,-0.00333093,-0.01098808,0.00490034,0.00275681,1,,2,1,lin_thin,0.14449075,0.16816727,-0.00587317
75,0,75,0.25487313,0.11936738,0.41041621,0.24592195,-0.00279334,-0.01024559,0.00470280,0.00274945,1,,2,1,lin_thin,0.14616818,0.18076740,-0.00532194
76,0,76,0.25708884,0.11954846,0.41059376,0.24413415,nan,-0.00950405,0.00450592,nan,0,coated,1,0,,nan,nan,-0.00477080
77,0,77,0.25933744,0.11975151,0.41074280,0.24232873,nan,-0.00876346,0.00430983,nan,0,coated,1,0,,nan,nan,-0.00421960
78,0,78,0.26162017,0.11997740,0.41086205,0.24050482,nan,-0.00802382,0.00411468,nan,0,coated,1,0,,nan,nan,-0.00366821
79,0,79,0.26393837,0.12022706,0.41095015,0.23866146,nan,-0.00728514,0.00392064,nan,0,coated,1,0,,nan,nan,-0.00311648
80,0,80,0.26629352,0.12050151,0.41100559,0.23679760,nan,-0.00654741,0.00372786,nan,0,coated,1,0,,nan,nan,-0.00256426
81,0,81,0.26868724,0.12080189,0.41102672,0.23491207,nan,-0.00581064,0.00353651,nan,0,coated,1,0,,nan,nan,-0.00201138
82,0,82,0.27112129,0.12112945,0.41101174,0.23300359,nan,-0.00507483,0.00334676,nan,0,coated,1,0,,nan,nan,-0.00145770
83,0,83,0.27359767,0.12148557,0.41095866,0.23107075,nan,-0.00433996,0.00315880,nan,0,coated,1,0,,nan,nan,-0.00090304
84,0,84,0.27611854,0.12187182,0.41086525,0.22911196,nan,-0.00360605,0.00297279,nan,0,coated,1,0,,nan,nan,-0.00034723
85,0,85,0.27868634,0.12228993,0.41072906,0.22712547,nan,-0.00287308,0.00278895,nan,0,coated,1,0,,nan,nan,0.00020989
86,0,86,0.28130381,0.12274185,0.41054732,0.22510928,nan,-0.00214104,0.00260747,nan,0,coated,1,0,,nan,nan,0.00076851
87,0,87,0.28397402,0.12322979,0.41031694,0.22306117,nan,-0.00140992,0.00242856,nan,0,coated,1,0,,nan,nan,0.00132880
88,0,88,0.28670045,0.12375626,0.41003440,0.22097859,nan,-0.00067971,0.00225246,nan,0,coated,1,0,,nan,nan,0.00189096
89,0,89,0.28948708,0.12432413,0.40969570,0.21885865,nan,0.00004962,0.00207940,nan,0,coated,1,0,,nan,nan,0.00245517
90,0,90,0.29233846,0.12493671,0.40929626,0.21669800,nan,0.00077808,0.00190962,nan,0,coated,1,0,,nan,nan,0.00302163
91,0,91,0.29525988,0.12559785,0.40883076,0.21449279,nan,0.00150571,0.00174341,nan,0,coated,1,0,,nan,nan,0.00359054
92,0,92,0.29825751,0.12631205,0.40829301,0.21223847,nan,0.00223253,0.00158104,nan,0,coated,1,0,,nan,nan,0.00416210
93,0,93,0.30133863,0.12708463,0.40767568,0.20992968,nan,0.00295859,0.00142283,nan,0,coated,1,0,,nan,nan,0.00473650
94,0,94,0.30451196,0.12792199,0.40697006,0.20756002,nan,0.00368394,0.00126911,nan,0,coated,1,0,,nan,nan,0.00531397
