phi1,phi2
0.2212429731417864,0.11951280449718925
0.21457214241099312,0.12006870705808868
0.21012492192379764,0.12062460961898812
0.20623360399750157,0.12118051217988757
0.20289818863210493,0.121736414740787
0.19956277326670832,0.12229231730168644
0.19678326046221112,0.12284821986258587
0.19455965021861338,0.12340412242348531
0.1923360399750156,0.12396002498438476
0.19011242973141787,0.12451592754528419
0.1878888194878201,0.12507183010618364
0.1862211118051218,0.12562773266708308
0.1845534041224235,0.1261836352279825
0.1828856964397252,0.12673953778888195
0.18121798875702685,0.12729544034978138
0.17955028107432855,0.12785134291068082
0.17788257339163024,0.12840724547158025
0.17677076826983135,0.12896314803247969
0.17510306058713304,0.12951905059337915
0.17399125546533417,0.13007495315427858
0.1728794503435353,0.13063085571517802
0.17176764522173643,0.13118675827607745
0.1700999375390381,0.1317426608369769
0.16898813241723923,0.13229856339787632
0.16787632729544036,0.13285446595877576
0.16732042473454092,0.1334103685196752
0.16620861961274205,0.13396627108057463
0.16509681449094316,0.1345221736414741
0.16398500936914429,0.13507807620237353
0.16287320424734542,0.13563397876327296
0.16231730168644598,0.1361898813241724
0.1612054965646471,0.13674578388507183
0.16064959400374768,0.13730168644597127
0.15953778888194878,0.1378575890068707
0.15898188632104934,0.13841349156777014
0.15787008119925047,0.1389693941286696
0.15731417863835104,0.13952529668956903
0.15620237351655217,0.14008119925046847
0.15564647095565273,0.1406371018113679
0.1550905683947533,0.14119300437226734
0.1539787632729544,0.14174890693316677
0.15342286071205496,0.1423048094940662
0.15286695815115553,0.14286071205496564
0.1523110555902561,0.14341661461586508
0.15175515302935666,0.14397251717676451
0.1506433479075578,0.14452841973766398
0.15008744534665835,0.1450843222985634
0.1495315427857589,0.14564022485946285
0.14897564022485946,0.14619612742036228
0.14841973766396002,0.14675202998126172
0.1478638351030606,0.14730793254216115
0.14730793254216115,0.1478638351030606
0.14675202998126172,0.14841973766396002
0.14619612742036228,0.14897564022485946
0.14564022485946285,0.1495315427857589
0.1450843222985634,0.15008744534665835
0.14452841973766398,0.1506433479075578
0.14397251717676451,0.15119925046845722
0.14397251717676451,0.15175515302935666
0.14341661461586508,0.1523110555902561
0.14286071205496564,0.15286695815115553
0.1423048094940662,0.15342286071205496
0.14174890693316677,0.1539787632729544
0.14119300437226734,0.15453466583385383
0.14119300437226734,0.1550905683947533
0.1406371018113679,0.15564647095565273
0.14008119925046847,0.15620237351655217
0.13952529668956903,0.1567582760774516
0.13952529668956903,0.15731417863835104
0.1389693941286696,0.15787008119925047
0.13841349156777014,0.1584259837601499
0.13841349156777014,0.15898188632104934
0.1378575890068707,0.15953778888194878
0.13730168644597127,0.1600936914428482
0.13730168644597127,0.16064959400374768
0.13674578388507183,0.1612054965646471
0.1361898813241724,0.16176139912554655
0.1361898813241724,0.16231730168644598
0.13563397876327296,0.16287320424734542
0.13507807620237353,0.16342910680824485
0.13507807620237353,0.16398500936914429
0.1345221736414741,0.16454091193004372
0.1345221736414741,0.16509681449094316
0.13396627108057463,0.1656527170518426
0.13396627108057463,0.16620861961274205
0.1334103685196752,0.1667645221736415
0.1334103685196752,0.16732042473454092
0.13285446595877576,0.16787632729544036
0.13229856339787632,0.1684322298563398
0.13229856339787632,0.16898813241723923
0.1317426608369769,0.16954403497813866
0.1317426608369769,0.1700999375390381
0.13118675827607745,0.17065584009993753
0.13118675827607745,0.17121174266083697
0.13118675827607745,0.17176764522173643
0.13063085571517802,0.17232354778263587
0.13063085571517802,0.1728794503435353
0.13007495315427858,0.17343535290443474
0.13007495315427858,0.17399125546533417
0.12951905059337915,0.1745471580262336
0.12951905059337915,0.17510306058713304
0.12896314803247969,0.17565896314803248
0.12896314803247969,0.1762148657089319
0.12896314803247969,0.17677076826983135
0.12840724547158025,0.1773266708307308
0.12840724547158025,0.17788257339163024
0.12785134291068082,0.17843847595252968
0.12785134291068082,0.17899437851342911
0.12785134291068082,0.17955028107432855
0.12729544034978138,0.18010618363522798
0.12729544034978138,0.18066208619612742
0.12729544034978138,0.18121798875702685
0.12673953778888195,0.1817738913179263
0.12673953778888195,0.18232979387882572
