source,phi1_inf,phi2_inf
fix_phi1,0.12237518796992482,0.1649654119692519
fix_phi1,0.12437969924812031,0.16220917339606702
fix_phi1,0.12538195488721804,0.1608973991484646
fix_phi1,0.1263842105263158,0.15962535771546427
fix_phi1,0.12738646616541352,0.15838814401200674
fix_phi1,0.12838872180451127,0.1571860006280347
fix_phi1,0.12939097744360903,0.15602109394138222
fix_phi1,0.13039323308270676,0.15489049174916536
fix_phi1,0.1313954887218045,0.1537923893541131
fix_phi1,0.13239774436090226,0.15272536100283404
fix_phi1,0.1334,0.1516881441762225
fix_phi1,0.13440225563909775,0.1506795786877606
fix_phi1,0.13540451127819547,0.149698599352096
fix_phi1,0.13640676691729323,0.14874424736638647
fix_phi1,0.13740902255639098,0.14781568749388613
fix_phi1,0.1384112781954887,0.14691222694935815
fix_phi1,0.13941353383458646,0.14603333598890098
fix_phi1,0.14041578947368422,0.14517867267847237
fix_phi1,0.14141804511278194,0.14434811678932088
fix_phi1,0.1424203007518797,0.14353659817956552
fix_phi1,0.14342255639097745,0.14274392518586204
fix_phi1,0.14442481203007518,0.14197336746768938
fix_phi1,0.14542706766917293,0.14122541999823798
fix_phi1,0.1464293233082707,0.14049688442626107
fix_phi1,0.1474315789473684,0.13978095457298115
fix_phi1,0.14843383458646617,0.13908695340299398
fix_phi1,0.1494360902255639,0.13841599601180282
fix_phi1,0.15043834586466165,0.1377507345035261
fix_phi1,0.1514406015037594,0.13710784612026794
fix_phi1,0.15244285714285713,0.1364847541577875
fix_phi1,0.15344511278195488,0.13586823186431124
fix_phi1,0.15444736842105264,0.13527581087062296
fix_phi1,0.15544962406015037,0.13469151841849267
fix_phi1,0.15645187969924812,0.13412432596027388
fix_phi1,0.15745413533834587,0.13357288351405888
fix_phi1,0.1584563909774436,0.13303024613328854
fix_phi1,0.15945864661654136,0.13250822961477843
fix_phi1,0.16046090225563908,0.13198983050004415
fix_phi1,0.16146315789473684,0.13149409625028083
fix_phi1,0.1624654135338346,0.13100008338948002
fix_phi1,0.16346766917293232,0.13052767426126927
fix_phi1,0.16446992481203007,0.1300587206666204
fix_phi1,0.16547218045112783,0.1296068506115551
fix_phi1,0.16647443609022555,0.12916417942757008
fix_phi1,0.1674766917293233,0.12873024532379043
fix_phi1,0.16847894736842106,0.12831564508142929
fix_phi1,0.1694812030075188,0.1278972259892381
fix_phi1,0.17048345864661654,0.12750263025883649
fix_phi1,0.1714857142857143,0.1271079118736021
fix_phi1,0.17248796992481202,0.1267254287572652
fix_phi1,0.17349022556390978,0.12636321282005103
fix_phi1,0.1744924812030075,0.12599095063853097
fix_phi1,0.17549473684210526,0.1256394646528504
fix_phi1,0.176496992481203,0.1253010169558704
fix_phi1,0.17749924812030074,0.12495701348287735
fix_phi1,0.1785015037593985,0.12463209475938782
fix_phi1,0.17950375939849625,0.12432035301850324
fix_phi1,0.18050601503759398,0.12400054791211398
fix_phi1,0.18150827067669173,0.1236982389371109
fix_phi1,0.18251052631578948,0.12341324343355169
fix_phi1,0.1835127819548872,0.12311816493972202
fix_phi1,0.18451503759398497,0.12283506215552938
fix_phi1,0.18551729323308272,0.12256761714226522
fix_phi1,0.18651954887218045,0.12230862249544189
fix_phi1,0.1875218045112782,0.12204189600035663
fix_phi1,0.18852406015037593,0.12178937437218137
fix_phi1,0.18952631578947368,0.12155078801836994
fix_phi1,0.19052857142857144,0.12132010464849942
fix_phi1,0.19153082706766916,0.12108047137945727
fix_phi1,0.19253308270676692,0.12085341278889247
fix_phi1,0.19353533834586467,0.1206386085655951
fix_phi1,0.1945375939849624,0.12043594177797846
fix_phi1,0.19553984962406015,0.12022786747417838
fix_phi1,0.1965421052631579,0.12002221858394482
fix_phi1,0.19754436090225563,0.11982732978119182
fix_phi1,0.1985466165413534,0.11964291793711952
fix_phi1,0.19954887218045111,0.11946881578196578
fix_phi1,0.20055112781954887,0.1192956456008259
fix_phi1,0.20155338345864662,0.11911795149793934
fix_phi1,0.20255563909774435,0.118949482074865
fix_phi1,0.2035578947368421,0.11878991242481768
fix_phi1,0.20456015037593986,0.11863898491671537
fix_phi1,0.20556240601503759,0.11849649455828995
fix_phi1,0.20656466165413534,0.11836168431914453
fix_phi1,0.2075669172932331,0.11821562445347167
fix_phi1,0.20856917293233082,0.1180772810872693
fix_phi1,0.20957142857142858,0.11794634247485028
fix_phi1,0.21057368421052633,0.11782253523824723
fix_phi1,0.21157593984962406,0.11770561423902809
fix_phi1,0.2125781954887218,0.11759535487804589
fix_phi1,0.21358045112781954,0.117491547013083
fix_phi1,0.2145827067669173,0.11739398996078804
fix_phi1,0.21558496240601505,0.11729244561126033
fix_phi1,0.21658721804511277,0.11719222963465233
fix_phi1,0.21758947368421053,0.11709791192685058
fix_phi1,0.21859172932330828,0.11700927083258497
fix_phi1,0.219593984962406,0.11692610075142398
fix_phi1,0.22059624060150376,0.11684820899211121
fix_phi1,0.22159849624060152,0.11677541346341012
fix_phi1,0.22260075187969924,0.11670754100875759
fix_phi1,0.223603007518797,0.11664442624912509
fix_phi1,0.22460526315789475,0.11658591083459656
fix_phi1,0.22560751879699248,0.11653184302783699
fix_phi1,0.22660977443609023,0.11648207755614796
fix_phi1,0.22761203007518796,0.11643647567626605
fix_phi1,0.22861428571428571,0.116394905399767
fix_phi1,0.22961654135338347,0.11635649416815806
fix_phi1,0.2306187969924812,0.11631684511281086
fix_phi1,0.23162105263157895,0.11628145053907885
fix_phi1,0.2326233082706767,0.11625021011874716
fix_phi1,0.23362556390977443,0.11622303206867939
fix_phi1,0.23462781954887219,0.11619983270247321
fix_phi1,0.23563007518796994,0.11618053607386744
fix_phi1,0.23663233082706767,0.11616507368932259
fix_phi1,0.23763458646616542,0.11615338427424145
fix_phi1,0.23863684210526315,0.11614541358329722
fix_phi1,0.2396390977443609,0.11614111425060747
fix_phi1,0.24064135338345866,0.11614044568033685
fix_phi1,0.24164360902255638,0.11614337398301192
fix_phi1,0.24264586466165414,0.11614987196764932
fix_phi1,0.2436481203007519,0.11615991920513306
fix_phi1,0.24465037593984962,0.11617350218459385
fix_phi1,0.24565263157894737,0.11619061459259887
fix_phi1,0.24665488721804513,0.11621125775585107
fix_phi1,0.24765714285714285,0.11623544130356762
fix_phi1,0.2486593984962406,0.11626318412864092
fix_phi1,0.24966165413533836,0.11629451576198604
fix_phi1,0.2506639097744361,0.11632947833032704
fix_phi1,0.2516661654135338,0.11636715615074761
fix_phi1,0.2526684210526316,0.11640313602486536
fix_phi1,0.2536706766917293,0.11644224811208073
fix_phi1,0.25467293233082705,0.11648451965260218
fix_phi1,0.25567518796992483,0.11652998123398314
fix_phi1,0.25667744360902256,0.11657866744079201
fix_phi1,0.2576796992481203,0.1166306178009072
fix_phi1,0.25868195488721807,0.11668587811865216
fix_phi1,0.2596842105263158,0.11674450232805425
fix_phi1,0.2606864661654135,0.11680655507025793
